Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,north carolina central,north carolina a&t,13 - 28,W,home,1662247800,https://media-1.api-sports.io/american-football/teams/302.png
2022-09-10,north carolina central,winston-salem,0 - 41,W,home,1662847200,https://media-1.api-sports.io/american-football/teams/302.png
2022-09-17,north carolina central,new hampshire,45 - 27,W,away,1663452000,https://media-2.api-sports.io/american-football/teams/302.png
2022-09-24,north carolina central,virginia lynchburg,14 - 59,W,home,1664049600,https://media-2.api-sports.io/american-football/teams/302.png
2022-10-01,north carolina central,campbell,18 - 48,L,away,1664640000,https://media-2.api-sports.io/american-football/teams/302.png
2022-10-13,north carolina central,morgan state,20 - 59,W,home,1665703800,https://media-3.api-sports.io/american-football/teams/302.png
2022-10-22,north carolina central,south carolina state,24 - 26,L,away,1666459800,https://media-3.api-sports.io/american-football/teams/302.png
2022-10-29,north carolina central,delaware state,28 - 21,W,away,1667066400,https://media-3.api-sports.io/american-football/teams/302.png
2022-11-05,north carolina central,howard,21 - 50,W,home,1667671200,https://media-1.api-sports.io/american-football/teams/302.png
2022-11-12,north carolina central,norfolk state,48 - 14,W,away,1668279600,https://media-3.api-sports.io/american-football/teams/302.png
2022-11-19,north carolina central,tennessee tech,22 - 20,W,away,1668886200,https://media-2.api-sports.io/american-football/teams/302.png
2022-12-17,north carolina central,jackson state,34 - 41,W,home,1671296400,https://media-1.api-sports.io/american-football/teams/302.png
