Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,north dakota,nebraska,17 - 38,L,away,1662233400,https://media-2.api-sports.io/american-football/teams/157.png
2022-09-10,north dakota,northern iowa,27 - 29,W,home,1662840000,https://media-2.api-sports.io/american-football/teams/157.png
2022-09-17,north dakota,northern arizona,27 - 24,W,away,1663444800,https://media-1.api-sports.io/american-football/teams/157.png
2022-09-24,north dakota,southern illinois,17 - 34,L,away,1664046000,https://media-1.api-sports.io/american-football/teams/157.png
2022-10-01,north dakota,missouri state,31 - 48,W,home,1664643600,https://media-3.api-sports.io/american-football/teams/157.png
2022-10-08,north dakota,youngstown state,35 - 30,W,away,1665266400,https://media-1.api-sports.io/american-football/teams/157.png
2022-10-22,north dakota,south dakota state,49 - 35,L,home,1666468800,https://media-1.api-sports.io/american-football/teams/157.png
2022-10-29,north dakota,abilene christian,31 - 34,W,home,1667073600,https://media-2.api-sports.io/american-football/teams/157.png
2022-11-05,north dakota,indiana state,42 - 7,W,away,1667667600,https://media-1.api-sports.io/american-football/teams/157.png
2022-11-12,north dakota,south dakota,19 - 28,W,home,1668276000,https://media-1.api-sports.io/american-football/teams/157.png
2022-11-19,north dakota,north dakota state,21 - 42,L,away,1668889800,https://media-3.api-sports.io/american-football/teams/157.png
2022-11-26,north dakota,weber state,31 - 38,L,away,1669496400,https://media-3.api-sports.io/american-football/teams/157.png
