Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-08-27,north texas,utep,31 - 13,W,away,1661565600,https://media-3.api-sports.io/american-football/teams/58.png
2022-09-03,north texas,smu,48 - 10,L,home,1662247800,https://media-2.api-sports.io/american-football/teams/58.png
2022-09-10,north texas,texas southern,27 - 59,W,home,1662852600,https://media-1.api-sports.io/american-football/teams/58.png
2022-09-17,north texas,unlv,27 - 58,L,away,1663441200,https://media-3.api-sports.io/american-football/teams/58.png
2022-09-24,north texas,memphis,34 - 44,L,away,1664047800,https://media-2.api-sports.io/american-football/teams/58.png
2022-10-01,north texas,florida atlantic,28 - 45,W,home,1664654400,https://media-3.api-sports.io/american-football/teams/58.png
2022-10-15,north texas,louisiana tech,27 - 47,W,home,1665864000,https://media-2.api-sports.io/american-football/teams/58.png
2022-10-22,north texas,utsa,27 - 31,L,away,1666467000,https://media-3.api-sports.io/american-football/teams/58.png
2022-10-29,north texas,western kentucky,40 - 13,W,away,1667071800,https://media-2.api-sports.io/american-football/teams/58.png
2022-11-05,north texas,florida international,14 - 52,W,home,1667678400,https://media-1.api-sports.io/american-football/teams/58.png
2022-11-12,north texas,uab,21 - 41,L,away,1668285000,https://media-2.api-sports.io/american-football/teams/58.png
2022-11-26,north texas,jerry rice team,17 - 21,W,home,1669489200,https://media-3.api-sports.io/american-football/teams/58.png
2022-12-02,north texas,utsa,27 - 48,L,away,1669941000,https://media-3.api-sports.io/american-football/teams/58.png
2022-12-18,north texas,boise state,32 - 35,L,away,1671329700,https://media-1.api-sports.io/american-football/teams/58.png
