Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,notre dame,ohio state,10 - 21,L,away,1662247800,https://media-2.api-sports.io/american-football/teams/108.png
2022-09-10,notre dame,marshall,26 - 21,L,home,1662834600,https://media-1.api-sports.io/american-football/teams/108.png
2022-09-17,notre dame,california,17 - 24,W,home,1663439400,https://media-1.api-sports.io/american-football/teams/108.png
2022-09-24,notre dame,north carolina,45 - 32,W,away,1664047800,https://media-3.api-sports.io/american-football/teams/108.png
2022-10-08,notre dame,byu,20 - 28,W,home,1665271800,https://media-1.api-sports.io/american-football/teams/108.png
2022-10-15,notre dame,stanford,16 - 14,L,home,1665876600,https://media-2.api-sports.io/american-football/teams/108.png
2022-10-22,notre dame,unlv,21 - 44,W,home,1666463400,https://media-3.api-sports.io/american-football/teams/108.png
2022-10-29,notre dame,syracuse,41 - 24,W,away,1667059200,https://media-2.api-sports.io/american-football/teams/108.png
2022-11-05,notre dame,clemson,14 - 35,W,home,1667691000,https://media-3.api-sports.io/american-football/teams/108.png
2022-11-12,notre dame,navy,35 - 32,W,away,1668272400,https://media-2.api-sports.io/american-football/teams/108.png
2022-11-19,notre dame,boston college,0 - 44,W,home,1668886200,https://media-2.api-sports.io/american-football/teams/108.png
2022-11-26,notre dame,usc,27 - 38,L,away,1669422600,https://media-2.api-sports.io/american-football/teams/108.png
2022-12-30,notre dame,south carolina,45 - 38,W,away,1672432200,https://media-1.api-sports.io/american-football/teams/108.png
