Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,oklahoma,utep,13 - 45,W,home,1662233400,https://media-2.api-sports.io/american-football/teams/117.png
2022-09-10,oklahoma,kent state,3 - 33,W,home,1662850800,https://media-1.api-sports.io/american-football/teams/117.png
2022-09-17,oklahoma,nebraska,49 - 14,W,away,1663430400,https://media-2.api-sports.io/american-football/teams/117.png
2022-09-24,oklahoma,kansas state,41 - 34,L,home,1663977600,https://media-1.api-sports.io/american-football/teams/117.png
2022-10-01,oklahoma,tcu,24 - 55,L,away,1664640000,https://media-3.api-sports.io/american-football/teams/117.png
2022-10-08,oklahoma,texas,49 - 0,L,home,1665244800,https://media-1.api-sports.io/american-football/teams/117.png
2022-10-15,oklahoma,kansas,42 - 52,W,home,1665849600,https://media-1.api-sports.io/american-football/teams/117.png
2022-10-29,oklahoma,iowa state,27 - 13,W,away,1667059200,https://media-1.api-sports.io/american-football/teams/117.png
2022-11-05,oklahoma,baylor,38 - 35,L,home,1667674800,https://media-1.api-sports.io/american-football/teams/117.png
2022-11-12,oklahoma,west virginia,20 - 23,L,away,1668272400,https://media-3.api-sports.io/american-football/teams/117.png
2022-11-19,oklahoma,oklahoma state,13 - 28,W,home,1668817800,https://media-3.api-sports.io/american-football/teams/117.png
2022-11-26,oklahoma,texas tech,48 - 51,L,away,1669422600,https://media-2.api-sports.io/american-football/teams/117.png
2022-12-29,oklahoma,florida state,32 - 35,L,away,1672353000,https://media-1.api-sports.io/american-football/teams/117.png
