Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,oregon,georgia,3 - 49,L,away,1662233400,https://media-1.api-sports.io/american-football/teams/110.png
2022-09-10,oregon,eastern washington,14 - 70,W,home,1662769800,https://media-1.api-sports.io/american-football/teams/110.png
2022-09-17,oregon,byu,20 - 41,W,home,1663443000,https://media-3.api-sports.io/american-football/teams/110.png
2022-09-24,oregon,washington state,44 - 41,W,away,1664049600,https://media-1.api-sports.io/american-football/teams/110.png
2022-10-01,oregon,stanford,27 - 45,W,home,1664593200,https://media-2.api-sports.io/american-football/teams/110.png
2022-10-08,oregon,arizona,49 - 22,W,away,1665190800,https://media-3.api-sports.io/american-football/teams/110.png
2022-10-22,oregon,ucla,30 - 45,W,home,1666467000,https://media-3.api-sports.io/american-football/teams/110.png
2022-10-29,oregon,california,42 - 24,W,away,1667071800,https://media-1.api-sports.io/american-football/teams/110.png
2022-11-05,oregon,colorado,49 - 10,W,away,1667676600,https://media-3.api-sports.io/american-football/teams/110.png
2022-11-12,oregon,washington,37 - 34,L,home,1668211200,https://media-2.api-sports.io/american-football/teams/110.png
2022-11-19,oregon,utah,17 - 20,W,home,1668828600,https://media-3.api-sports.io/american-football/teams/110.png
2022-11-26,oregon,oregon state,34 - 38,L,away,1669494600,https://media-2.api-sports.io/american-football/teams/110.png
2022-12-29,oregon,north carolina,28 - 27,W,away,1672275600,https://media-1.api-sports.io/american-football/teams/110.png
