Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-01,penn state,purdue,35 - 31,W,away,1661990400,https://media-1.api-sports.io/american-football/teams/78.png
2022-09-10,penn state,ohio,10 - 46,W,home,1662825600,https://media-3.api-sports.io/american-football/teams/78.png
2022-09-17,penn state,auburn,41 - 12,W,away,1663443000,https://media-1.api-sports.io/american-football/teams/78.png
2022-09-24,penn state,central michigan,14 - 33,W,home,1664035200,https://media-1.api-sports.io/american-football/teams/78.png
2022-10-01,penn state,northwestern,7 - 17,W,home,1664652600,https://media-3.api-sports.io/american-football/teams/78.png
2022-10-15,penn state,michigan,17 - 41,L,away,1665849600,https://media-3.api-sports.io/american-football/teams/78.png
2022-10-22,penn state,minnesota,17 - 45,W,home,1666481400,https://media-2.api-sports.io/american-football/teams/78.png
2022-10-29,penn state,ohio state,44 - 31,L,home,1667059200,https://media-2.api-sports.io/american-football/teams/78.png
2022-11-05,penn state,indiana,45 - 14,W,away,1667676600,https://media-3.api-sports.io/american-football/teams/78.png
2022-11-12,penn state,maryland,0 - 30,W,home,1668285000,https://media-2.api-sports.io/american-football/teams/78.png
2022-11-19,penn state,rutgers,55 - 10,W,away,1668889800,https://media-2.api-sports.io/american-football/teams/78.png
2022-11-26,penn state,michigan state,16 - 35,W,home,1669496400,https://media-1.api-sports.io/american-football/teams/78.png
2023-01-02,penn state,utah,35 - 21,W,away,1672696800,https://media-3.api-sports.io/american-football/teams/78.png
