Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-17,pennsylvania,colgate,14 - 25,W,home,1663434000,https://media-3.api-sports.io/american-football/teams/324.png
2022-09-24,pennsylvania,lafayette,0 - 12,W,home,1664038800,https://media-2.api-sports.io/american-football/teams/324.png
2022-09-30,pennsylvania,dartmouth,23 - 17,W,away,1664578800,https://media-3.api-sports.io/american-football/teams/324.png
2022-10-08,pennsylvania,georgetown,59 - 28,W,away,1665252000,https://media-3.api-sports.io/american-football/teams/324.png
2022-10-15,pennsylvania,columbia,14 - 34,W,home,1665853200,https://media-2.api-sports.io/american-football/teams/324.png
2022-10-22,pennsylvania,yale,13 - 20,W,home,1666458000,https://media-2.api-sports.io/american-football/teams/324.png
2022-10-29,pennsylvania,brown,31 - 34,L,away,1667061000,https://media-3.api-sports.io/american-football/teams/324.png
2022-11-05,pennsylvania,cornell,28 - 21,W,away,1667667600,https://media-3.api-sports.io/american-football/teams/324.png
2022-11-12,pennsylvania,harvard,37 - 14,L,home,1668276000,https://media-2.api-sports.io/american-football/teams/324.png
2022-11-19,pennsylvania,princeton,20 - 19,W,away,1668880800,https://media-2.api-sports.io/american-football/teams/324.png
