Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,prairie view a&m,texas southern,23 - 40,W,home,1662246000,https://media-2.api-sports.io/american-football/teams/295.png
2022-09-10,prairie view a&m,abilene christian,13 - 21,L,away,1662768000,https://media-2.api-sports.io/american-football/teams/295.png
2022-09-17,prairie view a&m,incarnate word,31 - 14,L,home,1663455600,https://media-1.api-sports.io/american-football/teams/295.png
2022-09-24,prairie view a&m,alabama state,25 - 15,W,away,1664056800,https://media-1.api-sports.io/american-football/teams/295.png
2022-10-01,prairie view a&m,grambling,34 - 14,W,away,1664665200,https://media-2.api-sports.io/american-football/teams/295.png
2022-10-08,prairie view a&m,southern,45 - 13,L,home,1665262800,https://media-2.api-sports.io/american-football/teams/295.png
2022-10-22,prairie view a&m,lamar,54 - 21,W,away,1666472400,https://media-2.api-sports.io/american-football/teams/295.png
2022-10-29,prairie view a&m,bethune-cookman,48 - 58,W,home,1667070000,https://media-3.api-sports.io/american-football/teams/295.png
2022-11-04,prairie view a&m,alcorn state,23 - 16,L,home,1667604600,https://media-3.api-sports.io/american-football/teams/295.png
2022-11-12,prairie view a&m,arkansas-pine bluff,55 - 24,W,away,1668283200,https://media-1.api-sports.io/american-football/teams/295.png
2022-11-19,prairie view a&m,mississippi valley state,7 - 27,L,away,1668884400,https://media-2.api-sports.io/american-football/teams/295.png
