Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,presbyterian,austin peay,0 - 63,L,away,1662246000,https://media-3.api-sports.io/american-football/teams/294.png
2022-09-10,presbyterian,virginia lynchburg,13 - 21,W,home,1662829200,https://media-2.api-sports.io/american-football/teams/294.png
2022-09-17,presbyterian,western carolina,21 - 77,L,away,1663443000,https://media-1.api-sports.io/american-football/teams/294.png
2022-09-24,presbyterian,davidson,56 - 24,L,home,1664060400,https://media-2.api-sports.io/american-football/teams/294.png
2022-10-01,presbyterian,morehead state,10 - 14,L,away,1664643600,https://media-2.api-sports.io/american-football/teams/294.png
2022-10-08,presbyterian,valparaiso,41 - 21,L,home,1665244800,https://media-2.api-sports.io/american-football/teams/294.png
2022-10-15,presbyterian,san diego,3 - 28,L,away,1665867600,https://media-1.api-sports.io/american-football/teams/294.png
2022-10-22,presbyterian,st. thomas - minnesota,46 - 17,L,home,1666458000,https://media-1.api-sports.io/american-football/teams/294.png
2022-10-29,presbyterian,marist,7 - 37,L,away,1667059200,https://media-1.api-sports.io/american-football/teams/294.png
2022-11-05,presbyterian,dayton,52 - 28,L,home,1667667600,https://media-2.api-sports.io/american-football/teams/294.png
2022-11-19,presbyterian,stetson,21 - 42,L,away,1668880800,https://media-2.api-sports.io/american-football/teams/294.png
