Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,robert morris,dayton,22 - 20,L,home,1662220800,https://media-3.api-sports.io/american-football/teams/224.png
2022-09-10,robert morris,miami (oh),14 - 31,L,away,1662847200,https://media-1.api-sports.io/american-football/teams/224.png
2022-09-24,robert morris,east tennessee state,45 - 3,L,home,1664035200,https://media-3.api-sports.io/american-football/teams/224.png
2022-10-01,robert morris,delaware state,9 - 14,L,away,1664661600,https://media-3.api-sports.io/american-football/teams/224.png
2022-10-08,robert morris,gardner-webb,48 - 0,L,home,1665244800,https://media-2.api-sports.io/american-football/teams/224.png
2022-10-15,robert morris,campbell,10 - 41,L,away,1665853200,https://media-1.api-sports.io/american-football/teams/224.png
2022-10-22,robert morris,north carolina a&t,38 - 14,L,home,1666454400,https://media-1.api-sports.io/american-football/teams/224.png
2022-10-29,robert morris,appalachian state,3 - 42,L,away,1667071800,https://media-3.api-sports.io/american-football/teams/224.png
2022-11-05,robert morris,charleston southern,21 - 34,L,away,1667664000,https://media-3.api-sports.io/american-football/teams/224.png
2022-11-12,robert morris,murray state,9 - 27,L,away,1668279600,https://media-3.api-sports.io/american-football/teams/224.png
2022-11-19,robert morris,bryant,35 - 6,L,home,1668877200,https://media-3.api-sports.io/american-football/teams/224.png
