Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,se louisiana,louisiana,7 - 24,L,away,1662246000,https://media-3.api-sports.io/american-football/teams/183.png
2022-09-10,se louisiana,florida atlantic,9 - 42,L,away,1662847200,https://media-1.api-sports.io/american-football/teams/183.png
2022-09-17,se louisiana,central connecticut,6 - 70,W,home,1663455600,https://media-2.api-sports.io/american-football/teams/183.png
2022-09-24,se louisiana,incarnate word,35 - 41,W,home,1664060400,https://media-2.api-sports.io/american-football/teams/183.png
2022-10-01,se louisiana,murray state,14 - 48,W,home,1664665200,https://media-2.api-sports.io/american-football/teams/183.png
2022-10-08,se louisiana,texas a&m-commerce,31 - 28,L,home,1665262800,https://media-3.api-sports.io/american-football/teams/183.png
2022-10-22,se louisiana,jacksonville state,31 - 14,W,away,1666461600,https://media-2.api-sports.io/american-football/teams/183.png
2022-10-29,se louisiana,mcneese,28 - 27,W,away,1667001600,https://media-3.api-sports.io/american-football/teams/183.png
2022-11-05,se louisiana,lamar,47 - 31,W,away,1667678400,https://media-2.api-sports.io/american-football/teams/183.png
2022-11-12,se louisiana,northwestern state,7 - 23,W,home,1668290400,https://media-2.api-sports.io/american-football/teams/183.png
2022-11-17,se louisiana,nicholls,40 - 17,W,away,1668643200,https://media-3.api-sports.io/american-football/teams/183.png
2022-11-26,se louisiana,idaho,42 - 45,W,home,1669420800,https://media-2.api-sports.io/american-football/teams/183.png
2022-12-03,se louisiana,samford,42 - 48,L,away,1670097600,https://media-2.api-sports.io/american-football/teams/183.png
