Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,south carolina,georgia state,14 - 35,W,home,1662247800,https://media-2.api-sports.io/american-football/teams/188.png
2022-09-10,south carolina,arkansas,30 - 44,L,away,1662825600,https://media-2.api-sports.io/american-football/teams/188.png
2022-09-17,south carolina,georgia,48 - 7,L,home,1663430400,https://media-1.api-sports.io/american-football/teams/188.png
2022-09-24,south carolina,charlotte,20 - 56,W,home,1664062200,https://media-1.api-sports.io/american-football/teams/188.png
2022-09-29,south carolina,south carolina state,10 - 50,W,home,1664492400,https://media-2.api-sports.io/american-football/teams/188.png
2022-10-08,south carolina,kentucky,24 - 14,W,away,1665271800,https://media-1.api-sports.io/american-football/teams/188.png
2022-10-22,south carolina,texas a&m,24 - 30,W,home,1666481400,https://media-3.api-sports.io/american-football/teams/188.png
2022-10-29,south carolina,missouri,23 - 10,L,home,1667073600,https://media-1.api-sports.io/american-football/teams/188.png
2022-11-05,south carolina,vanderbilt,38 - 27,W,away,1667691000,https://media-3.api-sports.io/american-football/teams/188.png
2022-11-12,south carolina,florida,6 - 38,L,away,1668286800,https://media-2.api-sports.io/american-football/teams/188.png
2022-11-19,south carolina,tennessee,38 - 63,W,home,1668816000,https://media-3.api-sports.io/american-football/teams/188.png
2022-11-26,south carolina,clemson,31 - 30,W,away,1669482000,https://media-1.api-sports.io/american-football/teams/188.png
2022-12-30,south carolina,notre dame,45 - 38,L,home,1672432200,https://media-3.api-sports.io/american-football/teams/188.png
