Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,south dakota,kansas state,0 - 34,L,away,1662246000,https://media-1.api-sports.io/american-football/teams/175.png
2022-09-10,south dakota,montana,7 - 24,L,away,1662838200,https://media-3.api-sports.io/american-football/teams/175.png
2022-09-17,south dakota,cal poly,21 - 38,W,home,1663437600,https://media-3.api-sports.io/american-football/teams/175.png
2022-09-24,south dakota,north dakota state,34 - 17,L,home,1664042400,https://media-3.api-sports.io/american-football/teams/175.png
2022-10-08,south dakota,south dakota state,3 - 28,L,away,1665255600,https://media-3.api-sports.io/american-football/teams/175.png
2022-10-15,south dakota,illinois state,10 - 12,L,away,1665860400,https://media-1.api-sports.io/american-football/teams/175.png
2022-10-22,south dakota,southern illinois,24 - 27,W,home,1666465200,https://media-2.api-sports.io/american-football/teams/175.png
2022-10-29,south dakota,youngstown state,24 - 45,L,away,1667066400,https://media-1.api-sports.io/american-football/teams/175.png
2022-11-05,south dakota,missouri state,13 - 20,W,home,1667671200,https://media-3.api-sports.io/american-football/teams/175.png
2022-11-12,south dakota,north dakota,19 - 28,L,away,1668276000,https://media-2.api-sports.io/american-football/teams/175.png
2022-11-19,south dakota,northern iowa,58 - 14,L,home,1668884400,https://media-1.api-sports.io/american-football/teams/175.png
