Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,south florida,byu,50 - 21,L,home,1662235200,https://media-2.api-sports.io/american-football/teams/135.png
2022-09-10,south florida,howard,20 - 42,W,home,1662850800,https://media-3.api-sports.io/american-football/teams/135.png
2022-09-17,south florida,florida,28 - 31,L,away,1663457400,https://media-1.api-sports.io/american-football/teams/135.png
2022-09-24,south florida,louisville,3 - 41,L,away,1664035200,https://media-3.api-sports.io/american-football/teams/135.png
2022-10-01,south florida,east carolina,48 - 28,L,home,1664649000,https://media-2.api-sports.io/american-football/teams/135.png
2022-10-08,south florida,cincinnati,24 - 28,L,away,1665253800,https://media-3.api-sports.io/american-football/teams/135.png
2022-10-15,south florida,tulane,45 - 31,L,home,1665864000,https://media-2.api-sports.io/american-football/teams/135.png
2022-10-29,south florida,houston,27 - 42,L,away,1667059200,https://media-3.api-sports.io/american-football/teams/135.png
2022-11-05,south florida,temple,28 - 54,L,away,1667671200,https://media-1.api-sports.io/american-football/teams/135.png
2022-11-12,south florida,smu,41 - 23,L,home,1668272400,https://media-3.api-sports.io/american-football/teams/135.png
2022-11-18,south florida,tulsa,42 - 48,L,away,1668736800,https://media-1.api-sports.io/american-football/teams/135.png
2022-11-26,south florida,ucf,46 - 39,L,home,1669420800,https://media-2.api-sports.io/american-football/teams/135.png
