Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-01,southern utah,st. thomas - minnesota,13 - 44,W,home,1661990400,https://media-1.api-sports.io/american-football/teams/212.png
2022-09-10,southern utah,utah,7 - 73,L,away,1662831000,https://media-3.api-sports.io/american-football/teams/212.png
2022-09-17,southern utah,western illinois,17 - 10,W,away,1663444800,https://media-1.api-sports.io/american-football/teams/212.png
2022-09-24,southern utah,utah tech,17 - 31,W,home,1663977600,https://media-1.api-sports.io/american-football/teams/212.png
2022-10-01,southern utah,eastern kentucky,28 - 35,L,away,1664661600,https://media-2.api-sports.io/american-football/teams/212.png
2022-10-08,southern utah,tarleton,42 - 40,L,home,1665187200,https://media-1.api-sports.io/american-football/teams/212.png
2022-10-15,southern utah,abilene christian,18 - 21,L,away,1665865800,https://media-3.api-sports.io/american-football/teams/212.png
2022-10-22,southern utah,stephen f. austin,41 - 38,L,home,1666465200,https://media-3.api-sports.io/american-football/teams/212.png
2022-11-05,southern utah,utah tech,36 - 48,L,away,1667606400,https://media-1.api-sports.io/american-football/teams/212.png
2022-11-12,southern utah,lincoln university (ca),0 - 55,W,home,1668283200,https://media-1.api-sports.io/american-football/teams/212.png
2022-11-19,southern utah,sam houston,17 - 7,W,away,1668880800,https://media-2.api-sports.io/american-football/teams/212.png
