Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,southern,florida memorial university,0 - 86,W,home,1662246000,https://media-1.api-sports.io/american-football/teams/232.png
2022-09-10,southern,lsu,17 - 65,L,away,1662852600,https://media-1.api-sports.io/american-football/teams/232.png
2022-09-17,southern,texas southern,0 - 24,L,away,1663448400,https://media-3.api-sports.io/american-football/teams/232.png
2022-10-01,southern,arkansas-pine bluff,3 - 59,W,home,1664665200,https://media-3.api-sports.io/american-football/teams/232.png
2022-10-08,southern,prairie view a&m,45 - 13,W,away,1665262800,https://media-2.api-sports.io/american-football/teams/232.png
2022-10-15,southern,alcorn state,17 - 21,W,home,1665874800,https://media-2.api-sports.io/american-football/teams/232.png
2022-10-22,southern,virginia lynchburg,7 - 51,W,home,1666472400,https://media-1.api-sports.io/american-football/teams/232.png
2022-10-29,southern,jackson state,0 - 35,L,away,1667066400,https://media-3.api-sports.io/american-football/teams/232.png
2022-11-05,southern,florida a&m,16 - 30,L,away,1667685600,https://media-2.api-sports.io/american-football/teams/232.png
2022-11-12,southern,mississippi valley state,7 - 27,W,home,1668283200,https://media-3.api-sports.io/american-football/teams/232.png
2022-11-26,southern,grambling,17 - 34,W,home,1669489200,https://media-1.api-sports.io/american-football/teams/232.png
2022-12-03,southern,jackson state,24 - 43,L,away,1670101200,https://media-2.api-sports.io/american-football/teams/232.png
