Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-01,st. thomas - minnesota,southern utah,13 - 44,L,away,1661990400,https://media-3.api-sports.io/american-football/teams/270.png
2022-09-10,st. thomas - minnesota,michigan tech,6 - 32,W,home,1662832800,https://media-3.api-sports.io/american-football/teams/270.png
2022-09-24,st. thomas - minnesota,lincoln university (ca),6 - 43,W,home,1664042400,https://media-3.api-sports.io/american-football/teams/270.png
2022-10-01,st. thomas - minnesota,marist,38 - 24,W,away,1664640000,https://media-1.api-sports.io/american-football/teams/270.png
2022-10-08,st. thomas - minnesota,davidson,16 - 27,W,home,1665252000,https://media-2.api-sports.io/american-football/teams/270.png
2022-10-15,st. thomas - minnesota,drake,14 - 26,W,home,1665856800,https://media-1.api-sports.io/american-football/teams/270.png
2022-10-22,st. thomas - minnesota,presbyterian,46 - 17,W,away,1666458000,https://media-3.api-sports.io/american-football/teams/270.png
2022-10-29,st. thomas - minnesota,san diego,42 - 49,W,home,1667062800,https://media-3.api-sports.io/american-football/teams/270.png
2022-11-05,st. thomas - minnesota,valparaiso,34 - 7,W,away,1667671200,https://media-3.api-sports.io/american-football/teams/270.png
2022-11-12,st. thomas - minnesota,stetson,0 - 23,W,home,1668276000,https://media-3.api-sports.io/american-football/teams/270.png
2022-11-19,st. thomas - minnesota,butler,27 - 13,W,away,1668877200,https://media-1.api-sports.io/american-football/teams/270.png
