Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,stetson,concordia college (mi),14 - 24,W,home,1662242400,https://media-3.api-sports.io/american-football/teams/290.png
2022-09-10,stetson,louisiana christian university,14 - 45,W,home,1662847200,https://media-2.api-sports.io/american-football/teams/290.png
2022-09-17,stetson,princeton,39 - 14,L,home,1663434000,https://media-3.api-sports.io/american-football/teams/290.png
2022-09-24,stetson,morehead state,26 - 38,W,home,1664038800,https://media-2.api-sports.io/american-football/teams/290.png
2022-10-01,stetson,san diego,None - None,tie,away,1664654400,https://media-2.api-sports.io/american-football/teams/290.png
2022-10-08,stetson,marist,45 - 31,L,home,1665248400,https://media-2.api-sports.io/american-football/teams/290.png
2022-10-22,stetson,dayton,20 - 23,L,away,1666458000,https://media-2.api-sports.io/american-football/teams/290.png
2022-10-29,stetson,drake,24 - 17,L,home,1667062800,https://media-1.api-sports.io/american-football/teams/290.png
2022-11-05,stetson,davidson,48 - 56,L,away,1667667600,https://media-1.api-sports.io/american-football/teams/290.png
2022-11-12,stetson,st. thomas - minnesota,0 - 23,L,away,1668276000,https://media-3.api-sports.io/american-football/teams/290.png
2022-11-19,stetson,presbyterian,21 - 42,W,home,1668880800,https://media-2.api-sports.io/american-football/teams/290.png
