Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-01,stony brook,rhode island,35 - 14,L,home,1662073200,https://media-2.api-sports.io/american-football/teams/246.png
2022-09-17,stony brook,umass,3 - 20,L,away,1663443000,https://media-1.api-sports.io/american-football/teams/246.png
2022-09-24,stony brook,richmond,7 - 51,L,away,1664042400,https://media-2.api-sports.io/american-football/teams/246.png
2022-10-01,stony brook,william & mary,27 - 10,L,home,1664652600,https://media-3.api-sports.io/american-football/teams/246.png
2022-10-08,stony brook,new hampshire,14 - 24,L,away,1665257400,https://media-3.api-sports.io/american-football/teams/246.png
2022-10-15,stony brook,fordham,14 - 45,L,away,1665871200,https://media-2.api-sports.io/american-football/teams/246.png
2022-10-22,stony brook,maine,27 - 28,W,home,1666467000,https://media-2.api-sports.io/american-football/teams/246.png
2022-10-29,stony brook,albany,14 - 59,L,away,1667062800,https://media-3.api-sports.io/american-football/teams/246.png
2022-11-05,stony brook,morgan state,22 - 24,W,home,1667667600,https://media-3.api-sports.io/american-football/teams/246.png
2022-11-12,stony brook,towson,21 - 17,L,home,1668276000,https://media-1.api-sports.io/american-football/teams/246.png
2022-11-19,stony brook,monmouth,21 - 24,L,away,1668877200,https://media-2.api-sports.io/american-football/teams/246.png
