Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,syracuse,louisville,7 - 31,W,home,1662163200,https://media-1.api-sports.io/american-football/teams/197.png
2022-09-10,syracuse,uconn,48 - 14,W,away,1662850800,https://media-3.api-sports.io/american-football/teams/197.png
2022-09-17,syracuse,purdue,29 - 32,W,home,1663430400,https://media-1.api-sports.io/american-football/teams/197.png
2022-09-23,syracuse,virginia,20 - 22,W,home,1663974000,https://media-3.api-sports.io/american-football/teams/197.png
2022-10-01,syracuse,wagner,0 - 59,W,home,1664658000,https://media-1.api-sports.io/american-football/teams/197.png
2022-10-15,syracuse,nc state,9 - 24,W,home,1665862200,https://media-3.api-sports.io/american-football/teams/197.png
2022-10-22,syracuse,clemson,21 - 27,L,away,1666454400,https://media-2.api-sports.io/american-football/teams/197.png
2022-10-29,syracuse,notre dame,41 - 24,L,home,1667059200,https://media-3.api-sports.io/american-football/teams/197.png
2022-11-05,syracuse,pittsburgh,9 - 19,L,away,1667676600,https://media-2.api-sports.io/american-football/teams/197.png
2022-11-12,syracuse,florida state,38 - 3,L,home,1668214800,https://media-3.api-sports.io/american-football/teams/197.png
2022-11-19,syracuse,wake forest,35 - 45,L,away,1668819600,https://media-2.api-sports.io/american-football/teams/197.png
2022-11-26,syracuse,boston college,32 - 23,W,away,1669422600,https://media-2.api-sports.io/american-football/teams/197.png
2022-12-29,syracuse,minnesota,20 - 28,L,away,1672340400,https://media-2.api-sports.io/american-football/teams/197.png
