Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-01,tarleton,mississippi valley state,13 - 29,W,home,1661990400,https://media-2.api-sports.io/american-football/teams/235.png
2022-09-10,tarleton,tcu,17 - 59,L,away,1662768000,https://media-1.api-sports.io/american-football/teams/235.png
2022-09-17,tarleton,eastern new mexico,6 - 41,W,home,1663455600,https://media-2.api-sports.io/american-football/teams/235.png
2022-09-24,tarleton,north alabama,43 - 28,W,away,1664060400,https://media-1.api-sports.io/american-football/teams/235.png
2022-10-08,tarleton,southern utah,42 - 40,W,away,1665187200,https://media-3.api-sports.io/american-football/teams/235.png
2022-10-15,tarleton,stephen f. austin,24 - 41,L,away,1665874800,https://media-1.api-sports.io/american-football/teams/235.png
2022-10-22,tarleton,southwest baptist,10 - 24,W,home,1666396800,https://media-2.api-sports.io/american-football/teams/235.png
2022-10-29,tarleton,sam houston,40 - 21,L,home,1667001600,https://media-1.api-sports.io/american-football/teams/235.png
2022-11-05,tarleton,abilene christian,28 - 23,L,home,1667606400,https://media-1.api-sports.io/american-football/teams/235.png
2022-11-12,tarleton,utah tech,28 - 34,L,away,1668283200,https://media-1.api-sports.io/american-football/teams/235.png
2022-11-19,tarleton,houston christian,7 - 49,W,home,1668888000,https://media-3.api-sports.io/american-football/teams/235.png
