Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-02,temple,duke,0 - 30,L,away,1662161400,https://media-1.api-sports.io/american-football/teams/100.png
2022-09-10,temple,lafayette,14 - 30,W,home,1662832800,https://media-1.api-sports.io/american-football/teams/100.png
2022-09-17,temple,rutgers,16 - 14,L,home,1663437600,https://media-2.api-sports.io/american-football/teams/100.png
2022-09-24,temple,umass,0 - 28,W,home,1664042400,https://media-2.api-sports.io/american-football/teams/100.png
2022-10-01,temple,memphis,3 - 24,L,away,1664640000,https://media-3.api-sports.io/american-football/teams/100.png
2022-10-13,temple,ucf,13 - 70,L,away,1665702000,https://media-3.api-sports.io/american-football/teams/100.png
2022-10-21,temple,tulsa,27 - 16,L,home,1666395000,https://media-1.api-sports.io/american-football/teams/100.png
2022-10-29,temple,navy,20 - 27,L,away,1667071800,https://media-2.api-sports.io/american-football/teams/100.png
2022-11-05,temple,south florida,28 - 54,W,home,1667671200,https://media-3.api-sports.io/american-football/teams/100.png
2022-11-12,temple,houston,36 - 43,L,away,1668283200,https://media-3.api-sports.io/american-football/teams/100.png
2022-11-19,temple,cincinnati,23 - 3,L,home,1668891600,https://media-1.api-sports.io/american-football/teams/100.png
2022-11-26,temple,east carolina,49 - 46,L,home,1669485600,https://media-2.api-sports.io/american-football/teams/100.png
