Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-01,tennessee,ball state,10 - 59,W,home,1662073200,https://media-2.api-sports.io/american-football/teams/69.png
2022-09-10,tennessee,pittsburgh,34 - 27,W,away,1662838200,https://media-1.api-sports.io/american-football/teams/69.png
2022-09-17,tennessee,akron,6 - 63,W,home,1663455600,https://media-3.api-sports.io/american-football/teams/69.png
2022-09-24,tennessee,florida,33 - 38,W,home,1664047800,https://media-3.api-sports.io/american-football/teams/69.png
2022-10-08,tennessee,lsu,40 - 13,W,away,1665244800,https://media-2.api-sports.io/american-football/teams/69.png
2022-10-15,tennessee,alabama,49 - 52,W,home,1665862200,https://media-3.api-sports.io/american-football/teams/69.png
2022-10-22,tennessee,ut martin,24 - 65,W,home,1666454400,https://media-1.api-sports.io/american-football/teams/69.png
2022-10-29,tennessee,kentucky,6 - 44,W,home,1667084400,https://media-1.api-sports.io/american-football/teams/69.png
2022-11-05,tennessee,georgia,13 - 27,L,away,1667676600,https://media-2.api-sports.io/american-football/teams/69.png
2022-11-12,tennessee,missouri,24 - 66,W,home,1668272400,https://media-3.api-sports.io/american-football/teams/69.png
2022-11-19,tennessee,south carolina,38 - 63,L,away,1668816000,https://media-3.api-sports.io/american-football/teams/69.png
2022-11-26,tennessee,vanderbilt,56 - 0,W,away,1669422600,https://media-3.api-sports.io/american-football/teams/69.png
2022-12-31,tennessee,clemson,31 - 14,W,away,1672448400,https://media-3.api-sports.io/american-football/teams/69.png
