Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-01,texas a&m-commerce,lincoln university (ca),7 - 52,W,home,1661990400,https://media-2.api-sports.io/american-football/teams/272.png
2022-09-10,texas a&m-commerce,tennessee tech,25 - 26,L,away,1662850800,https://media-2.api-sports.io/american-football/teams/272.png
2022-09-17,texas a&m-commerce,sam houston,17 - 27,L,away,1663455600,https://media-1.api-sports.io/american-football/teams/272.png
2022-09-24,texas a&m-commerce,north american university,3 - 63,W,home,1664060400,https://media-1.api-sports.io/american-football/teams/272.png
2022-10-08,texas a&m-commerce,se louisiana,31 - 28,W,away,1665262800,https://media-2.api-sports.io/american-football/teams/272.png
2022-10-15,texas a&m-commerce,mcneese,40 - 15,W,away,1665792000,https://media-2.api-sports.io/american-football/teams/272.png
2022-10-22,texas a&m-commerce,houston christian,3 - 31,W,home,1666465200,https://media-3.api-sports.io/american-football/teams/272.png
2022-10-29,texas a&m-commerce,incarnate word,35 - 7,L,home,1667070000,https://media-2.api-sports.io/american-football/teams/272.png
2022-11-05,texas a&m-commerce,northwestern state,41 - 14,L,home,1667674800,https://media-2.api-sports.io/american-football/teams/272.png
2022-11-12,texas a&m-commerce,nicholls,10 - 12,L,away,1668286800,https://media-2.api-sports.io/american-football/teams/272.png
2022-11-19,texas a&m-commerce,tennessee state,22 - 14,L,home,1668888000,https://media-1.api-sports.io/american-football/teams/272.png
