Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-01,toledo,long island university,0 - 37,W,home,1662073200,https://media-1.api-sports.io/american-football/teams/75.png
2022-09-10,toledo,umass,10 - 55,W,home,1662850800,https://media-2.api-sports.io/american-football/teams/75.png
2022-09-17,toledo,ohio state,21 - 77,L,away,1663455600,https://media-3.api-sports.io/american-football/teams/75.png
2022-09-24,toledo,san diego state,14 - 17,L,away,1664047800,https://media-2.api-sports.io/american-football/teams/75.png
2022-10-01,toledo,central michigan,17 - 38,W,home,1664652600,https://media-3.api-sports.io/american-football/teams/75.png
2022-10-08,toledo,northern illinois,52 - 32,W,away,1665257400,https://media-1.api-sports.io/american-football/teams/75.png
2022-10-15,toledo,kent state,31 - 52,W,home,1665862200,https://media-2.api-sports.io/american-football/teams/75.png
2022-10-22,toledo,buffalo state,27 - 34,L,away,1666458000,https://media-1.api-sports.io/american-football/teams/75.png
2022-10-29,toledo,eastern michigan,27 - 24,W,away,1667059200,https://media-1.api-sports.io/american-football/teams/75.png
2022-11-08,toledo,ball state,21 - 28,W,home,1667869200,https://media-2.api-sports.io/american-football/teams/75.png
2022-11-15,toledo,bowling green,42 - 35,L,home,1668470400,https://media-1.api-sports.io/american-football/teams/75.png
2022-11-25,toledo,western michigan,14 - 20,L,away,1669395600,https://media-3.api-sports.io/american-football/teams/75.png
2022-12-03,toledo,ohio,17 - 7,W,away,1670086800,https://media-2.api-sports.io/american-football/teams/75.png
2022-12-21,toledo,liberty,19 - 21,W,home,1671582600,https://media-1.api-sports.io/american-football/teams/75.png
