Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,tulane,umass,10 - 42,W,home,1662246000,https://media-1.api-sports.io/american-football/teams/180.png
2022-09-10,tulane,alcorn state,0 - 52,W,home,1662850800,https://media-2.api-sports.io/american-football/teams/180.png
2022-09-17,tulane,kansas state,17 - 10,W,away,1663441200,https://media-3.api-sports.io/american-football/teams/180.png
2022-09-24,tulane,southern miss,27 - 24,L,home,1664060400,https://media-3.api-sports.io/american-football/teams/180.png
2022-09-30,tulane,houston,27 - 24,W,away,1664578800,https://media-3.api-sports.io/american-football/teams/180.png
2022-10-08,tulane,east carolina,9 - 24,W,home,1665257400,https://media-2.api-sports.io/american-football/teams/180.png
2022-10-15,tulane,south florida,45 - 31,W,away,1665864000,https://media-1.api-sports.io/american-football/teams/180.png
2022-10-22,tulane,memphis,28 - 38,W,home,1666467000,https://media-2.api-sports.io/american-football/teams/180.png
2022-11-05,tulane,tulsa,27 - 13,W,away,1667664000,https://media-1.api-sports.io/american-football/teams/180.png
2022-11-12,tulane,ucf,38 - 31,L,home,1668285000,https://media-1.api-sports.io/american-football/teams/180.png
2022-11-17,tulane,smu,24 - 59,W,home,1668645000,https://media-3.api-sports.io/american-football/teams/180.png
2022-11-25,tulane,cincinnati,27 - 24,W,away,1669395600,https://media-3.api-sports.io/american-football/teams/180.png
2022-12-03,tulane,ucf,28 - 45,W,home,1670101200,https://media-2.api-sports.io/american-football/teams/180.png
2023-01-02,tulane,usc,46 - 45,W,away,1672682400,https://media-3.api-sports.io/american-football/teams/180.png
