Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,tulsa,wyoming,37 - 40,L,away,1662233400,https://media-2.api-sports.io/american-football/teams/160.png
2022-09-10,tulsa,northern illinois,35 - 38,W,home,1662850800,https://media-1.api-sports.io/american-football/teams/160.png
2022-09-17,tulsa,jacksonville state,17 - 54,W,home,1663455600,https://media-3.api-sports.io/american-football/teams/160.png
2022-09-24,tulsa,ole miss,27 - 35,L,away,1664049600,https://media-1.api-sports.io/american-football/teams/160.png
2022-10-01,tulsa,cincinnati,31 - 21,L,home,1664665200,https://media-1.api-sports.io/american-football/teams/160.png
2022-10-08,tulsa,navy,21 - 53,L,away,1665257400,https://media-1.api-sports.io/american-football/teams/160.png
2022-10-21,tulsa,temple,27 - 16,W,away,1666395000,https://media-1.api-sports.io/american-football/teams/160.png
2022-10-29,tulsa,smu,45 - 34,L,home,1667071800,https://media-2.api-sports.io/american-football/teams/160.png
2022-11-05,tulsa,tulane,27 - 13,L,home,1667664000,https://media-3.api-sports.io/american-football/teams/160.png
2022-11-10,tulsa,memphis,10 - 26,L,away,1668040200,https://media-3.api-sports.io/american-football/teams/160.png
2022-11-18,tulsa,south florida,42 - 48,W,home,1668736800,https://media-1.api-sports.io/american-football/teams/160.png
2022-11-26,tulsa,houston,37 - 30,W,away,1669422600,https://media-3.api-sports.io/american-football/teams/160.png
