Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-10,tuskegee,hampton,10 - 42,L,away,1662847200,https://media-2.api-sports.io/american-football/teams/320.png
2022-09-17,tuskegee,west alabama,,,away,1663441200,https://media-2.api-sports.io/american-football/teams/320.png
2022-09-24,tuskegee,allen,,,home,1664042400,https://media-1.api-sports.io/american-football/teams/320.png
2022-10-01,tuskegee,clark atlanta,,,away,1664654400,https://media-2.api-sports.io/american-football/teams/320.png
2022-10-09,tuskegee,morehouse college,,,away,1665273600,https://media-2.api-sports.io/american-football/teams/320.png
2022-10-15,tuskegee,central state (oh),,,home,1665856800,https://media-2.api-sports.io/american-football/teams/320.png
2022-10-22,tuskegee,lane,,,away,1666465200,https://media-1.api-sports.io/american-football/teams/320.png
2022-10-29,tuskegee,kentucky state,,,away,1667062800,https://media-1.api-sports.io/american-football/teams/320.png
2022-11-05,tuskegee,miles college,,,home,1667671200,https://media-1.api-sports.io/american-football/teams/320.png
2022-11-12,tuskegee,benedict college,58 - 21,W,away,1668279600,https://media-1.api-sports.io/american-football/teams/320.png
