Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-08-27,unlv,idaho state,21 - 52,W,home,1661628600,https://media-2.api-sports.io/american-football/teams/43.png
2022-09-10,unlv,california,14 - 20,L,away,1662840000,https://media-1.api-sports.io/american-football/teams/43.png
2022-09-17,unlv,north texas,27 - 58,W,home,1663441200,https://media-2.api-sports.io/american-football/teams/43.png
2022-09-24,unlv,utah state,34 - 24,W,away,1664060400,https://media-2.api-sports.io/american-football/teams/43.png
2022-09-30,unlv,new mexico,20 - 31,W,home,1664506800,https://media-2.api-sports.io/american-football/teams/43.png
2022-10-07,unlv,san josé state,7 - 40,L,away,1665109800,https://media-1.api-sports.io/american-football/teams/43.png
2022-10-15,unlv,air force,42 - 7,L,home,1665801000,https://media-2.api-sports.io/american-football/teams/43.png
2022-10-22,unlv,notre dame,21 - 44,L,away,1666463400,https://media-1.api-sports.io/american-football/teams/43.png
2022-11-05,unlv,san diego state,10 - 14,L,away,1667689200,https://media-1.api-sports.io/american-football/teams/43.png
2022-11-11,unlv,fresno state,37 - 30,L,home,1668137400,https://media-3.api-sports.io/american-football/teams/43.png
2022-11-19,unlv,hawai'i,25 - 31,L,away,1668830400,https://media-3.api-sports.io/american-football/teams/43.png
2022-11-26,unlv,nevada,22 - 27,W,home,1669503600,https://media-3.api-sports.io/american-football/teams/43.png
