Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,utah,florida,26 - 29,L,away,1662246000,https://media-2.api-sports.io/american-football/teams/114.png
2022-09-10,utah,southern utah,7 - 73,W,home,1662831000,https://media-3.api-sports.io/american-football/teams/114.png
2022-09-17,utah,san diego state,7 - 35,W,home,1663380900,https://media-1.api-sports.io/american-football/teams/114.png
2022-09-24,utah,arizona state,34 - 13,W,away,1663986600,https://media-1.api-sports.io/american-football/teams/114.png
2022-10-01,utah,oregon state,16 - 42,W,home,1664647200,https://media-2.api-sports.io/american-football/teams/114.png
2022-10-08,utah,ucla,32 - 42,L,away,1665257400,https://media-3.api-sports.io/american-football/teams/114.png
2022-10-15,utah,usc,42 - 43,W,home,1665792000,https://media-3.api-sports.io/american-football/teams/114.png
2022-10-27,utah,washington state,21 - 17,W,away,1666836000,https://media-2.api-sports.io/american-football/teams/114.png
2022-11-05,utah,arizona,20 - 45,W,home,1667691000,https://media-1.api-sports.io/american-football/teams/114.png
2022-11-12,utah,stanford,7 - 42,W,home,1668222000,https://media-3.api-sports.io/american-football/teams/114.png
2022-11-19,utah,oregon,17 - 20,L,away,1668828600,https://media-3.api-sports.io/american-football/teams/114.png
2022-11-26,utah,colorado,63 - 21,W,away,1669496400,https://media-1.api-sports.io/american-football/teams/114.png
2022-12-02,utah,usc,47 - 24,W,away,1669942800,https://media-2.api-sports.io/american-football/teams/114.png
2023-01-02,utah,penn state,35 - 21,L,home,1672696800,https://media-1.api-sports.io/american-football/teams/114.png
