Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-10,uva wise,north alabama,17 - 49,L,away,1662850800,https://media-3.api-sports.io/american-football/teams/314.png
2022-09-17,uva wise,barton college,,,home,1663434000,https://media-1.api-sports.io/american-football/teams/314.png
2022-09-24,uva wise,limestone,,,away,1664060400,https://media-2.api-sports.io/american-football/teams/314.png
2022-10-01,uva wise,lenoir-rhyne,,,home,1664650800,https://media-2.api-sports.io/american-football/teams/314.png
2022-10-08,uva wise,emory & henry,,,away,1665248400,https://media-3.api-sports.io/american-football/teams/314.png
2022-10-15,uva wise,tusculum,,,home,1665849600,https://media-2.api-sports.io/american-football/teams/314.png
2022-10-22,uva wise,erskine,,,away,1666468800,https://media-2.api-sports.io/american-football/teams/314.png
2022-10-29,uva wise,mars hill,,,home,1667059200,https://media-3.api-sports.io/american-football/teams/314.png
2022-11-05,uva wise,carson-newman,,,away,1667674800,https://media-1.api-sports.io/american-football/teams/314.png
2022-11-12,uva wise,wingate,,,away,1668277800,https://media-3.api-sports.io/american-football/teams/314.png
