Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-03,valparaiso,indiana wesleyan,17 - 20,W,home,1662246000,https://media-3.api-sports.io/american-football/teams/298.png
2022-09-10,valparaiso,illinois state,21 - 28,L,away,1662852600,https://media-1.api-sports.io/american-football/teams/298.png
2022-09-17,valparaiso,dartmouth,13 - 35,L,away,1663435800,https://media-1.api-sports.io/american-football/teams/298.png
2022-09-24,valparaiso,san diego,21 - 28,W,home,1664038800,https://media-2.api-sports.io/american-football/teams/298.png
2022-10-08,valparaiso,presbyterian,41 - 21,W,away,1665244800,https://media-1.api-sports.io/american-football/teams/298.png
2022-10-15,valparaiso,butler,26 - 25,L,home,1665856800,https://media-3.api-sports.io/american-football/teams/298.png
2022-10-22,valparaiso,morehead state,40 - 35,W,away,1666461600,https://media-1.api-sports.io/american-football/teams/298.png
2022-10-29,valparaiso,dayton,24 - 31,L,away,1667062800,https://media-3.api-sports.io/american-football/teams/298.png
2022-11-05,valparaiso,st. thomas - minnesota,34 - 7,L,home,1667671200,https://media-1.api-sports.io/american-football/teams/298.png
2022-11-12,valparaiso,marist,45 - 24,W,away,1668272400,https://media-3.api-sports.io/american-football/teams/298.png
2022-11-19,valparaiso,drake,24 - 0,L,home,1668880800,https://media-3.api-sports.io/american-football/teams/298.png
2022-12-03,valparaiso,new mexico state,3 - 65,L,away,1670097600,https://media-2.api-sports.io/american-football/teams/298.png
