Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-08-27,vanderbilt,hawai'i,63 - 10,W,away,1661567400,https://media-1.api-sports.io/american-football/teams/60.png
2022-09-03,vanderbilt,elon,31 - 42,W,home,1662246000,https://media-3.api-sports.io/american-football/teams/60.png
2022-09-10,vanderbilt,wake forest,45 - 25,L,home,1662825600,https://media-2.api-sports.io/american-football/teams/60.png
2022-09-17,vanderbilt,northern illinois,38 - 28,W,away,1663443000,https://media-2.api-sports.io/american-football/teams/60.png
2022-09-24,vanderbilt,alabama,3 - 55,L,away,1664062200,https://media-2.api-sports.io/american-football/teams/60.png
2022-10-08,vanderbilt,ole miss,52 - 28,L,home,1665259200,https://media-3.api-sports.io/american-football/teams/60.png
2022-10-15,vanderbilt,georgia,0 - 55,L,away,1665862200,https://media-1.api-sports.io/american-football/teams/60.png
2022-10-22,vanderbilt,missouri,14 - 17,L,away,1666468800,https://media-1.api-sports.io/american-football/teams/60.png
2022-11-05,vanderbilt,south carolina,38 - 27,L,home,1667691000,https://media-2.api-sports.io/american-football/teams/60.png
2022-11-12,vanderbilt,kentucky,24 - 21,W,away,1668272400,https://media-1.api-sports.io/american-football/teams/60.png
2022-11-19,vanderbilt,florida,24 - 31,W,home,1668877200,https://media-3.api-sports.io/american-football/teams/60.png
2022-11-26,vanderbilt,tennessee,56 - 0,L,home,1669422600,https://media-3.api-sports.io/american-football/teams/60.png
