Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-01,wagner,fordham,48 - 31,L,home,1662069600,https://media-3.api-sports.io/american-football/teams/219.png
2022-09-10,wagner,rutgers,7 - 66,L,away,1662840000,https://media-1.api-sports.io/american-football/teams/219.png
2022-09-17,wagner,st. francis (pa),27 - 7,L,home,1663444800,https://media-3.api-sports.io/american-football/teams/219.png
2022-10-01,wagner,syracuse,0 - 59,L,away,1664658000,https://media-2.api-sports.io/american-football/teams/219.png
2022-10-08,wagner,columbia,7 - 28,L,away,1665248400,https://media-2.api-sports.io/american-football/teams/219.png
2022-10-15,wagner,merrimack,17 - 54,L,away,1665853200,https://media-1.api-sports.io/american-football/teams/219.png
2022-10-21,wagner,long island university,26 - 37,W,home,1666393200,https://media-1.api-sports.io/american-football/teams/219.png
2022-10-29,wagner,central connecticut,7 - 34,L,away,1667059200,https://media-2.api-sports.io/american-football/teams/219.png
2022-11-05,wagner,stonehill,10 - 50,L,away,1667667600,https://media-1.api-sports.io/american-football/teams/219.png
2022-11-12,wagner,sacred heart,38 - 28,L,home,1668272400,https://media-3.api-sports.io/american-football/teams/219.png
2022-11-19,wagner,duquesne,0 - 33,L,away,1668877200,https://media-3.api-sports.io/american-football/teams/219.png
