Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-01,weber state,western oregon,5 - 41,W,home,1661990400,https://media-1.api-sports.io/american-football/teams/227.png
2022-09-10,weber state,utah state,35 - 7,W,away,1662850800,https://media-2.api-sports.io/american-football/teams/227.png
2022-09-17,weber state,utah tech,14 - 44,W,home,1663372800,https://media-2.api-sports.io/american-football/teams/227.png
2022-09-24,weber state,uc davis,17 - 12,W,away,1663984800,https://media-1.api-sports.io/american-football/teams/227.png
2022-10-08,weber state,eastern washington,21 - 45,W,home,1665187200,https://media-2.api-sports.io/american-football/teams/227.png
2022-10-15,weber state,portland state,42 - 7,W,away,1665867600,https://media-1.api-sports.io/american-football/teams/227.png
2022-10-22,weber state,montana state,38 - 43,L,away,1666465200,https://media-1.api-sports.io/american-football/teams/227.png
2022-10-29,weber state,montana,21 - 24,W,home,1667070000,https://media-3.api-sports.io/american-football/teams/227.png
2022-11-05,weber state,sacramento state,33 - 30,L,home,1667674800,https://media-1.api-sports.io/american-football/teams/227.png
2022-11-12,weber state,idaho state,7 - 45,W,home,1668283200,https://media-3.api-sports.io/american-football/teams/227.png
2022-11-19,weber state,northern arizona,33 - 31,W,away,1668888000,https://media-2.api-sports.io/american-football/teams/227.png
2022-11-26,weber state,north dakota,31 - 38,W,home,1669496400,https://media-2.api-sports.io/american-football/teams/227.png
2022-12-03,weber state,montana state,25 - 33,L,away,1670097600,https://media-1.api-sports.io/american-football/teams/227.png
