Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-02,western michigan,michigan state,13 - 35,L,away,1662159600,https://media-2.api-sports.io/american-football/teams/93.png
2022-09-10,western michigan,ball state,37 - 30,W,away,1662832800,https://media-3.api-sports.io/american-football/teams/93.png
2022-09-17,western michigan,pittsburgh,34 - 13,L,home,1663457400,https://media-1.api-sports.io/american-football/teams/93.png
2022-09-24,western michigan,san josé state,6 - 34,L,away,1663986600,https://media-3.api-sports.io/american-football/teams/93.png
2022-10-01,western michigan,new hampshire,7 - 44,W,home,1664661600,https://media-3.api-sports.io/american-football/teams/93.png
2022-10-08,western michigan,eastern michigan,45 - 23,L,home,1665244800,https://media-1.api-sports.io/american-football/teams/93.png
2022-10-15,western michigan,ohio,33 - 14,L,home,1665862200,https://media-1.api-sports.io/american-football/teams/93.png
2022-10-22,western michigan,miami (oh),16 - 10,W,away,1666467000,https://media-2.api-sports.io/american-football/teams/93.png
2022-11-02,western michigan,bowling green,9 - 13,L,away,1667430000,https://media-2.api-sports.io/american-football/teams/93.png
2022-11-09,western michigan,northern illinois,24 - 21,L,home,1667952000,https://media-2.api-sports.io/american-football/teams/93.png
2022-11-16,western michigan,central michigan,12 - 10,W,away,1668560400,https://media-1.api-sports.io/american-football/teams/93.png
2022-11-25,western michigan,toledo,14 - 20,W,home,1669395600,https://media-3.api-sports.io/american-football/teams/93.png
