Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-02,william & mary,charlotte,41 - 24,W,away,1662159600,https://media-1.api-sports.io/american-football/teams/98.png
2022-09-10,william & mary,campbell,21 - 37,W,home,1662847200,https://media-3.api-sports.io/american-football/teams/98.png
2022-09-17,william & mary,lafayette,34 - 7,W,away,1663443000,https://media-3.api-sports.io/american-football/teams/98.png
2022-09-24,william & mary,elon,35 - 31,L,home,1664047800,https://media-1.api-sports.io/american-football/teams/98.png
2022-10-01,william & mary,stony brook,27 - 10,W,away,1664652600,https://media-3.api-sports.io/american-football/teams/98.png
2022-10-08,william & mary,delaware,21 - 27,W,home,1665257400,https://media-2.api-sports.io/american-football/teams/98.png
2022-10-22,william & mary,towson,44 - 24,W,away,1666468800,https://media-2.api-sports.io/american-football/teams/98.png
2022-10-29,william & mary,rhode island,30 - 31,W,home,1667062800,https://media-1.api-sports.io/american-football/teams/98.png
2022-11-05,william & mary,hampton,20 - 14,W,away,1667667600,https://media-2.api-sports.io/american-football/teams/98.png
2022-11-12,william & mary,villanova,12 - 45,W,home,1668276000,https://media-3.api-sports.io/american-football/teams/98.png
2022-11-19,william & mary,richmond,37 - 26,W,away,1668877200,https://media-3.api-sports.io/american-football/teams/98.png
2022-12-03,william & mary,gardner-webb,14 - 54,W,home,1670094000,https://media-2.api-sports.io/american-football/teams/98.png
2022-12-09,william & mary,montana state,7 - 55,L,away,1670555700,https://media-1.api-sports.io/american-football/teams/98.png
