Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-08-27,wyoming,illinois,6 - 38,L,away,1661630400,https://media-1.api-sports.io/american-football/teams/48.png
2022-09-03,wyoming,tulsa,37 - 40,W,home,1662233400,https://media-2.api-sports.io/american-football/teams/48.png
2022-09-10,wyoming,northern colorado,10 - 33,W,home,1662840000,https://media-1.api-sports.io/american-football/teams/48.png
2022-09-16,wyoming,air force,14 - 17,W,home,1663286400,https://media-1.api-sports.io/american-football/teams/48.png
2022-09-24,wyoming,byu,24 - 38,L,away,1663985700,https://media-1.api-sports.io/american-football/teams/48.png
2022-10-01,wyoming,san josé state,33 - 16,L,home,1664667000,https://media-3.api-sports.io/american-football/teams/48.png
2022-10-08,wyoming,new mexico,27 - 14,W,away,1665270000,https://media-2.api-sports.io/american-football/teams/48.png
2022-10-22,wyoming,utah state,14 - 28,W,home,1666403100,https://media-2.api-sports.io/american-football/teams/48.png
2022-10-29,wyoming,hawai'i,27 - 20,W,away,1667015940,https://media-3.api-sports.io/american-football/teams/48.png
2022-11-12,wyoming,colorado state,14 - 13,W,away,1668211200,https://media-2.api-sports.io/american-football/teams/48.png
2022-11-19,wyoming,boise state,20 - 17,L,home,1668816000,https://media-1.api-sports.io/american-football/teams/48.png
2022-11-25,wyoming,fresno state,0 - 30,L,away,1669345200,https://media-2.api-sports.io/american-football/teams/48.png
2022-12-30,wyoming,ohio,30 - 27,L,home,1672435800,https://media-2.api-sports.io/american-football/teams/48.png
