Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-09-17,yale,holy cross,14 - 38,L,away,1663437600,https://media-2.api-sports.io/american-football/teams/328.png
2022-09-24,yale,cornell,38 - 14,W,away,1664042400,https://media-1.api-sports.io/american-football/teams/328.png
2022-10-01,yale,howard,26 - 34,W,home,1664640000,https://media-1.api-sports.io/american-football/teams/328.png
2022-10-08,yale,dartmouth,21 - 24,W,home,1665244800,https://media-1.api-sports.io/american-football/teams/328.png
2022-10-15,yale,bucknell,9 - 29,W,home,1665849600,https://media-2.api-sports.io/american-football/teams/328.png
2022-10-22,yale,pennsylvania,13 - 20,L,away,1666458000,https://media-1.api-sports.io/american-football/teams/328.png
2022-10-28,yale,columbia,41 - 16,W,away,1666996200,https://media-1.api-sports.io/american-football/teams/328.png
2022-11-05,yale,brown,17 - 69,W,home,1667664000,https://media-3.api-sports.io/american-football/teams/328.png
2022-11-12,yale,princeton,20 - 24,W,home,1668272400,https://media-1.api-sports.io/american-football/teams/328.png
2022-11-19,yale,harvard,19 - 14,W,away,1668877200,https://media-2.api-sports.io/american-football/teams/328.png
