Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T00:30:00+00:00,alabama state,uab,70 - 111,L,away,1667867400,https://media-2.api-sports.io/basketball/teams/1807.png
2022-11-11T04:00:00+00:00,alabama state,usc,58 - 96,L,away,1668139200,https://media-3.api-sports.io/basketball/teams/1807.png
2022-11-13T22:00:00+00:00,alabama state,pepperdine,62 - 91,L,away,1668376800,https://media-3.api-sports.io/basketball/teams/1807.png
2022-11-16T03:00:00+00:00,alabama state,san jose state,57 - 70,L,away,1668567600,https://media-3.api-sports.io/basketball/teams/1807.png
2022-11-18T21:00:00+00:00,alabama state,carver bible,None - None,tie,home,1668805200,https://media-1.api-sports.io/basketball/teams/1807.png
2022-11-20T19:00:00+00:00,alabama state,pittsburgh,54 - 73,L,away,1668970800,https://media-2.api-sports.io/basketball/teams/1807.png
2022-11-24T00:00:00+00:00,alabama state,duquesne,57 - 75,L,away,1669248000,https://media-1.api-sports.io/basketball/teams/1807.png
2022-11-26T19:00:00+00:00,alabama state,eastern illinois,67 - 58,W,away,1669489200,https://media-3.api-sports.io/basketball/teams/1807.png
2022-11-27T19:00:00+00:00,alabama state,ohio,58 - 72,L,away,1669575600,https://media-1.api-sports.io/basketball/teams/1807.png
2022-12-08T00:00:00+00:00,alabama state,north alabama,63 - 71,L,away,1670457600,https://media-2.api-sports.io/basketball/teams/1807.png
2022-12-17T19:00:00+00:00,alabama state,georgia tech,60 - 96,L,away,1671303600,https://media-2.api-sports.io/basketball/teams/1807.png
2022-12-20T01:00:00+00:00,alabama state,arkansas state,65 - 72,L,away,1671498000,https://media-2.api-sports.io/basketball/teams/1807.png
2022-12-22T01:00:00+00:00,alabama state,memphis,61 - 83,L,away,1671670800,https://media-3.api-sports.io/basketball/teams/1807.png
2022-12-29T21:00:00+00:00,alabama state,lane college,78 - 90,W,home,1672347600,https://media-1.api-sports.io/basketball/teams/1807.png
2023-01-02T23:30:00+00:00,alabama state,miss. valley st.,61 - 70,W,home,1672702200,https://media-3.api-sports.io/basketball/teams/1807.png
2023-01-05T01:30:00+00:00,alabama state,arkansas-pine bluff,66 - 80,W,home,1672882200,https://media-3.api-sports.io/basketball/teams/1807.png
2023-01-07T23:00:00+00:00,alabama state,jackson state,58 - 61,L,away,1673132400,https://media-1.api-sports.io/basketball/teams/1807.png
2023-01-10T01:30:00+00:00,alabama state,alcorn state,76 - 92,L,away,1673314200,https://media-2.api-sports.io/basketball/teams/1807.png
2023-01-16T21:30:00+00:00,alabama state,alabama a&m,,,away,1673904600,https://media-2.api-sports.io/basketball/teams/1807.png
2023-01-21T23:30:00+00:00,alabama state,prairie view a&m,,,home,1674343800,https://media-2.api-sports.io/basketball/teams/1807.png
2023-01-23T21:00:00+00:00,alabama state,texas southern,,,home,1674507600,https://media-1.api-sports.io/basketball/teams/1807.png
2023-01-28T21:00:00+00:00,alabama state,bethune-cookman,,,away,1674939600,https://media-3.api-sports.io/basketball/teams/1807.png
2023-01-31T00:30:00+00:00,alabama state,florida a&m,,,away,1675125000,https://media-3.api-sports.io/basketball/teams/1807.png
2023-02-05T01:00:00+00:00,alabama state,grambling st.,,,home,1675558800,https://media-2.api-sports.io/basketball/teams/1807.png
2023-02-07T02:00:00+00:00,alabama state,southern univ.,,,home,1675735200,https://media-2.api-sports.io/basketball/teams/1807.png
2023-02-11T21:30:00+00:00,alabama state,arkansas-pine bluff,,,away,1676151000,https://media-2.api-sports.io/basketball/teams/1807.png
2023-02-13T23:00:00+00:00,alabama state,miss. valley st.,,,away,1676329200,https://media-1.api-sports.io/basketball/teams/1807.png
2023-02-18T21:00:00+00:00,alabama state,florida a&m,,,home,1676754000,https://media-2.api-sports.io/basketball/teams/1807.png
