Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T02:00:00+00:00,alcorn state,ole miss,58 - 73,L,away,1667872800,https://media-3.api-sports.io/basketball/teams/1809.png
2022-11-12T21:00:00+00:00,alcorn state,wichita state,66 - 57,W,away,1668286800,https://media-1.api-sports.io/basketball/teams/1809.png
2022-11-16T00:30:00+00:00,alcorn state,stephen f. austin,69 - 60,W,away,1668558600,https://media-2.api-sports.io/basketball/teams/1809.png
2022-11-23T02:00:00+00:00,alcorn state,utep,61 - 73,L,away,1669168800,https://media-2.api-sports.io/basketball/teams/1809.png
2022-11-23T23:00:00+00:00,alcorn state,texas a&m-cc,67 - 98,L,away,1669244400,https://media-2.api-sports.io/basketball/teams/1809.png
2022-11-25T18:00:00+00:00,alcorn state,csu bakersfield,62 - 54,W,away,1669399200,https://media-3.api-sports.io/basketball/teams/1809.png
2022-11-27T22:00:00+00:00,alcorn state,arizona state,54 - 76,L,away,1669586400,https://media-2.api-sports.io/basketball/teams/1809.png
2022-11-30T02:00:00+00:00,alcorn state,grand canyon,72 - 80,L,away,1669773600,https://media-3.api-sports.io/basketball/teams/1809.png
2022-12-04T23:00:00+00:00,alcorn state,tennessee,40 - 94,L,away,1670194800,https://media-2.api-sports.io/basketball/teams/1809.png
2022-12-11T01:00:00+00:00,alcorn state,southern illinois,68 - 74,L,away,1670720400,https://media-2.api-sports.io/basketball/teams/1809.png
2022-12-18T23:00:00+00:00,alcorn state,seattle,58 - 72,L,away,1671404400,https://media-3.api-sports.io/basketball/teams/1809.png
2022-12-21T00:00:00+00:00,alcorn state,dayton,46 - 88,L,away,1671580800,https://media-1.api-sports.io/basketball/teams/1809.png
2022-12-30T01:00:00+00:00,alcorn state,minnesota,None - None,tie,away,1672362000,https://media-2.api-sports.io/basketball/teams/1809.png
2023-01-02T22:00:00+00:00,alcorn state,jackson state,67 - 66,L,home,1672696800,https://media-3.api-sports.io/basketball/teams/1809.png
2023-01-07T22:00:00+00:00,alcorn state,alabama a&m,76 - 89,W,home,1673128800,https://media-1.api-sports.io/basketball/teams/1809.png
2023-01-10T01:30:00+00:00,alcorn state,alabama state,None - None,tie,home,1673314200,https://media-1.api-sports.io/basketball/teams/1809.png
2023-01-14T21:00:00+00:00,alcorn state,texas southern,,,away,1673730000,https://media-1.api-sports.io/basketball/teams/1809.png
2023-01-17T02:00:00+00:00,alcorn state,prairie view a&m,,,away,1673920800,https://media-2.api-sports.io/basketball/teams/1809.png
2023-01-21T21:00:00+00:00,alcorn state,florida a&m,,,home,1674334800,https://media-1.api-sports.io/basketball/teams/1809.png
2023-01-24T01:00:00+00:00,alcorn state,bethune-cookman,,,home,1674522000,https://media-3.api-sports.io/basketball/teams/1809.png
2023-01-28T23:30:00+00:00,alcorn state,southern univ.,,,away,1674948600,https://media-3.api-sports.io/basketball/teams/1809.png
2023-01-31T01:00:00+00:00,alcorn state,grambling st.,,,away,1675126800,https://media-3.api-sports.io/basketball/teams/1809.png
2023-02-04T22:00:00+00:00,alcorn state,arkansas-pine bluff,,,home,1675548000,https://media-3.api-sports.io/basketball/teams/1809.png
2023-02-07T01:00:00+00:00,alcorn state,miss. valley st.,,,home,1675731600,https://media-2.api-sports.io/basketball/teams/1809.png
2023-02-11T21:00:00+00:00,alcorn state,bethune-cookman,,,away,1676149200,https://media-1.api-sports.io/basketball/teams/1809.png
2023-02-14T00:30:00+00:00,alcorn state,florida a&m,,,away,1676334600,https://media-3.api-sports.io/basketball/teams/1809.png
2023-02-18T21:30:00+00:00,alcorn state,jackson state,,,away,1676755800,https://media-1.api-sports.io/basketball/teams/1809.png
