Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-07T23:00:00+00:00,charlotte,coppin state,59 - 82,W,home,1667862000,https://media-2.api-sports.io/basketball/teams/3429.png
2022-11-15T00:00:00+00:00,charlotte,md.-east. shore,47 - 80,W,home,1668470400,https://media-1.api-sports.io/basketball/teams/3429.png
2022-11-18T00:00:00+00:00,charlotte,boise state,42 - 54,W,home,1668729600,https://media-2.api-sports.io/basketball/teams/3429.png
2022-11-19T00:00:00+00:00,charlotte,tulsa,68 - 65,W,away,1668816000,https://media-1.api-sports.io/basketball/teams/3429.png
2022-11-20T18:00:00+00:00,charlotte,umass,60 - 54,L,home,1668967200,https://media-1.api-sports.io/basketball/teams/3429.png
2022-11-23T17:00:00+00:00,charlotte,detroit,49 - 70,L,away,1669222800,https://media-3.api-sports.io/basketball/teams/3429.png
2022-11-26T21:00:00+00:00,charlotte,presbyterian,42 - 69,W,home,1669496400,https://media-3.api-sports.io/basketball/teams/3429.png
2022-11-30T00:00:00+00:00,charlotte,davidson,68 - 66,W,away,1669766400,https://media-3.api-sports.io/basketball/teams/3429.png
2022-12-03T00:00:00+00:00,charlotte,appalachian state,62 - 71,W,home,1670025600,https://media-1.api-sports.io/basketball/teams/3429.png
2022-12-10T19:00:00+00:00,charlotte,detroit,80 - 82,W,home,1670698800,https://media-1.api-sports.io/basketball/teams/3429.png
2022-12-17T19:00:00+00:00,charlotte,monmouth,80 - 46,W,away,1671303600,https://media-1.api-sports.io/basketball/teams/3429.png
2022-12-23T00:30:00+00:00,charlotte,uab,68 - 76,L,away,1671755400,https://media-2.api-sports.io/basketball/teams/3429.png
2022-12-29T23:00:00+00:00,charlotte,middle tenn. st.,67 - 82,W,home,1672354800,https://media-1.api-sports.io/basketball/teams/3429.png
2022-12-31T19:00:00+00:00,charlotte,louisiana tech,66 - 68,W,home,1672513200,https://media-1.api-sports.io/basketball/teams/3429.png
2023-01-06T00:00:00+00:00,charlotte,florida international,60 - 62,L,away,1672963200,https://media-1.api-sports.io/basketball/teams/3429.png
2023-01-07T19:00:00+00:00,charlotte,florida atlantic,67 - 71,L,away,1673118000,https://media-1.api-sports.io/basketball/teams/3429.png
2023-01-14T19:00:00+00:00,charlotte,utsa roadrunners,,,home,1673722800,https://media-3.api-sports.io/basketball/teams/3429.png
2023-01-16T21:00:00+00:00,charlotte,utep,,,home,1673902800,https://media-2.api-sports.io/basketball/teams/3429.png
2023-01-20T00:00:00+00:00,charlotte,middle tenn. st.,,,away,1674172800,https://media-2.api-sports.io/basketball/teams/3429.png
2023-01-22T00:00:00+00:00,charlotte,western kentucky,,,away,1674345600,https://media-2.api-sports.io/basketball/teams/3429.png
2023-01-27T01:00:00+00:00,charlotte,rice,,,away,1674781200,https://media-1.api-sports.io/basketball/teams/3429.png
2023-02-03T00:00:00+00:00,charlotte,florida international,,,home,1675382400,https://media-2.api-sports.io/basketball/teams/3429.png
2023-02-04T21:00:00+00:00,charlotte,florida atlantic,,,home,1675544400,https://media-1.api-sports.io/basketball/teams/3429.png
2023-02-10T02:00:00+00:00,charlotte,utep,,,away,1675994400,https://media-2.api-sports.io/basketball/teams/3429.png
2023-02-11T23:00:00+00:00,charlotte,north texas,,,away,1676156400,https://media-2.api-sports.io/basketball/teams/3429.png
2023-02-17T00:00:00+00:00,charlotte,western kentucky,,,home,1676592000,https://media-1.api-sports.io/basketball/teams/3429.png
2023-02-18T20:00:00+00:00,charlotte,louisiana tech,,,away,1676750400,https://media-2.api-sports.io/basketball/teams/3429.png
