Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T00:45:00+00:00,depaul,loyola maryland,66 - 72,W,home,1667868300,https://media-2.api-sports.io/basketball/teams/213.png
2022-11-12T03:00:00+00:00,depaul,western illinois,74 - 86,W,home,1668222000,https://media-3.api-sports.io/basketball/teams/213.png
2022-11-15T00:00:00+00:00,depaul,minnesota,69 - 53,W,away,1668470400,https://media-3.api-sports.io/basketball/teams/213.png
2022-11-19T02:30:00+00:00,depaul,santa clara,61 - 69,L,away,1668825000,https://media-2.api-sports.io/basketball/teams/213.png
2022-11-20T21:30:00+00:00,depaul,oklahoma state,78 - 82,L,away,1668979800,https://media-1.api-sports.io/basketball/teams/213.png
2022-11-25T18:00:00+00:00,depaul,texas a&m,82 - 66,L,home,1669399200,https://media-3.api-sports.io/basketball/teams/213.png
2022-12-01T02:00:00+00:00,depaul,samford,98 - 103,W,home,1669860000,https://media-2.api-sports.io/basketball/teams/213.png
2022-12-03T21:00:00+00:00,depaul,loyola chicago,78 - 72,W,away,1670101200,https://media-1.api-sports.io/basketball/teams/213.png
2022-12-07T23:30:00+00:00,depaul,st. john's (n.y.),67 - 86,L,away,1670455800,https://media-3.api-sports.io/basketball/teams/213.png
2022-12-10T23:30:00+00:00,depaul,utep,70 - 91,W,home,1670715000,https://media-3.api-sports.io/basketball/teams/213.png
2022-12-15T00:00:00+00:00,depaul,duquesne,55 - 66,L,away,1671062400,https://media-2.api-sports.io/basketball/teams/213.png
2022-12-17T19:00:00+00:00,depaul,northwestern,45 - 83,L,away,1671303600,https://media-1.api-sports.io/basketball/teams/213.png
2022-12-25T21:30:00+00:00,depaul,creighton,65 - 80,L,away,1672003800,https://media-1.api-sports.io/basketball/teams/213.png
2022-12-30T01:00:00+00:00,depaul,georgetown,76 - 83,W,home,1672362000,https://media-2.api-sports.io/basketball/teams/213.png
2023-01-01T19:30:00+00:00,depaul,providence,74 - 59,L,home,1672601400,https://media-3.api-sports.io/basketball/teams/213.png
2023-01-05T02:00:00+00:00,depaul,butler,70 - 78,L,away,1672884000,https://media-2.api-sports.io/basketball/teams/213.png
2023-01-11T02:00:00+00:00,depaul,villanova,65 - 75,W,home,1673402400,https://media-3.api-sports.io/basketball/teams/213.png
2023-01-14T17:00:00+00:00,depaul,seton hall,,,home,1673715600,https://media-2.api-sports.io/basketball/teams/213.png
2023-01-19T01:30:00+00:00,depaul,xavier,,,home,1674091800,https://media-3.api-sports.io/basketball/teams/213.png
2023-01-21T19:00:00+00:00,depaul,providence,,,away,1674327600,https://media-2.api-sports.io/basketball/teams/213.png
2023-01-25T00:00:00+00:00,depaul,georgetown,,,away,1674604800,https://media-1.api-sports.io/basketball/teams/213.png
2023-01-28T19:00:00+00:00,depaul,marquette,,,home,1674932400,https://media-1.api-sports.io/basketball/teams/213.png
2023-02-01T01:00:00+00:00,depaul,uconn,,,home,1675213200,https://media-2.api-sports.io/basketball/teams/213.png
2023-02-05T17:00:00+00:00,depaul,seton hall,,,away,1675616400,https://media-3.api-sports.io/basketball/teams/213.png
2023-02-09T01:30:00+00:00,depaul,villanova,,,away,1675906200,https://media-2.api-sports.io/basketball/teams/213.png
2023-02-14T21:00:00+00:00,depaul,st. john's (n.y.),,,home,1676408400,https://media-1.api-sports.io/basketball/teams/213.png
2023-02-18T21:00:00+00:00,depaul,xavier,,,away,1676754000,https://media-2.api-sports.io/basketball/teams/213.png
