Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T00:00:00+00:00,east tennessee st,emory & henry,66 - 88,W,home,1667865600,https://media-2.api-sports.io/basketball/teams/5747.png
2022-11-12T01:30:00+00:00,east tennessee st,elon,64 - 77,W,home,1668216600,https://media-2.api-sports.io/basketball/teams/5747.png
2022-11-13T21:30:00+00:00,east tennessee st,louisiana lafayette,81 - 77,L,home,1668375000,https://media-1.api-sports.io/basketball/teams/5747.png
2022-11-18T00:00:00+00:00,east tennessee st,ualr,76 - 84,W,home,1668729600,https://media-1.api-sports.io/basketball/teams/5747.png
2022-11-20T21:00:00+00:00,east tennessee st,tennessee tech,62 - 69,L,away,1668978000,https://media-1.api-sports.io/basketball/teams/5747.png
2022-11-24T00:00:00+00:00,east tennessee st,appalachian state,74 - 70,L,home,1669248000,https://media-3.api-sports.io/basketball/teams/5747.png
2022-11-27T18:00:00+00:00,east tennessee st,georgia,47 - 62,L,away,1669572000,https://media-1.api-sports.io/basketball/teams/5747.png
2022-12-01T00:00:00+00:00,east tennessee st,mars hill,56 - 84,W,home,1669852800,https://media-3.api-sports.io/basketball/teams/5747.png
2022-12-03T21:00:00+00:00,east tennessee st,jacksonville state,63 - 61,L,home,1670101200,https://media-1.api-sports.io/basketball/teams/5747.png
2022-12-11T19:00:00+00:00,east tennessee st,morehead state,57 - 61,L,away,1670785200,https://media-3.api-sports.io/basketball/teams/5747.png
2022-12-15T00:00:00+00:00,east tennessee st,queens royals,78 - 75,L,home,1671062400,https://media-3.api-sports.io/basketball/teams/5747.png
2022-12-17T21:00:00+00:00,east tennessee st,unc asheville,74 - 73,L,home,1671310800,https://media-1.api-sports.io/basketball/teams/5747.png
2022-12-22T01:00:00+00:00,east tennessee st,lsu,68 - 72,L,away,1671670800,https://media-2.api-sports.io/basketball/teams/5747.png
2022-12-30T00:00:00+00:00,east tennessee st,wofford,73 - 71,W,away,1672358400,https://media-1.api-sports.io/basketball/teams/5747.png
2022-12-31T18:00:00+00:00,east tennessee st,vmi,64 - 50,W,away,1672509600,https://media-3.api-sports.io/basketball/teams/5747.png
2023-01-05T00:00:00+00:00,east tennessee st,western carolina,71 - 60,L,home,1672876800,https://media-2.api-sports.io/basketball/teams/5747.png
2023-01-07T21:00:00+00:00,east tennessee st,furman,70 - 56,L,home,1673125200,https://media-1.api-sports.io/basketball/teams/5747.png
2023-01-12T00:00:00+00:00,east tennessee st,citadel,,,away,1673481600,https://media-2.api-sports.io/basketball/teams/5747.png
2023-01-14T21:00:00+00:00,east tennessee st,mercer,,,home,1673730000,https://media-2.api-sports.io/basketball/teams/5747.png
2023-01-19T00:00:00+00:00,east tennessee st,samford,,,home,1674086400,https://media-3.api-sports.io/basketball/teams/5747.png
2023-01-21T20:00:00+00:00,east tennessee st,chattanooga mocs,,,away,1674331200,https://media-1.api-sports.io/basketball/teams/5747.png
2023-01-26T00:00:00+00:00,east tennessee st,mercer,,,away,1674691200,https://media-1.api-sports.io/basketball/teams/5747.png
2023-01-28T21:00:00+00:00,east tennessee st,chattanooga mocs,,,home,1674939600,https://media-2.api-sports.io/basketball/teams/5747.png
2023-02-02T00:00:00+00:00,east tennessee st,wofford,,,home,1675296000,https://media-3.api-sports.io/basketball/teams/5747.png
2023-02-04T20:00:00+00:00,east tennessee st,samford,,,away,1675540800,https://media-1.api-sports.io/basketball/teams/5747.png
2023-02-08T00:00:00+00:00,east tennessee st,nc greensboro,,,away,1675814400,https://media-3.api-sports.io/basketball/teams/5747.png
2023-02-11T00:00:00+00:00,east tennessee st,vmi,,,home,1676073600,https://media-1.api-sports.io/basketball/teams/5747.png
2023-02-16T00:00:00+00:00,east tennessee st,western carolina,,,away,1676505600,https://media-2.api-sports.io/basketball/teams/5747.png
