Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T02:00:00+00:00,eastern illinois,illinois,57 - 87,L,away,1667872800,https://media-1.api-sports.io/basketball/teams/1894.png
2022-11-11T01:00:00+00:00,eastern illinois,illinois state,54 - 49,L,home,1668128400,https://media-3.api-sports.io/basketball/teams/1894.png
2022-11-13T19:00:00+00:00,eastern illinois,central michigan,60 - 76,L,away,1668366000,https://media-3.api-sports.io/basketball/teams/1894.png
2022-11-17T00:00:00+00:00,eastern illinois,ohio state,43 - 65,L,away,1668643200,https://media-2.api-sports.io/basketball/teams/1894.png
2022-11-21T18:00:00+00:00,eastern illinois,smwc pomeroys,40 - 102,W,home,1669053600,https://media-1.api-sports.io/basketball/teams/1894.png
2022-11-25T19:00:00+00:00,eastern illinois,ohio,67 - 78,L,away,1669402800,https://media-1.api-sports.io/basketball/teams/1894.png
2022-11-26T19:00:00+00:00,eastern illinois,alabama state,67 - 58,L,home,1669489200,https://media-2.api-sports.io/basketball/teams/1894.png
2022-12-01T01:00:00+00:00,eastern illinois,northern illinois,90 - 70,L,home,1669856400,https://media-2.api-sports.io/basketball/teams/1894.png
2022-12-04T00:00:00+00:00,eastern illinois,blackburn,43 - 93,W,home,1670112000,https://media-1.api-sports.io/basketball/teams/1894.png
2022-12-08T01:00:00+00:00,eastern illinois,ball state,76 - 59,L,home,1670461200,https://media-1.api-sports.io/basketball/teams/1894.png
2022-12-10T20:00:00+00:00,eastern illinois,western illinois,79 - 75,L,home,1670702400,https://media-3.api-sports.io/basketball/teams/1894.png
2022-12-17T17:00:00+00:00,eastern illinois,iupui,70 - 59,W,away,1671296400,https://media-2.api-sports.io/basketball/teams/1894.png
2022-12-21T20:30:00+00:00,eastern illinois,iowa,92 - 83,W,away,1671654600,https://media-1.api-sports.io/basketball/teams/1894.png
2022-12-30T01:30:00+00:00,eastern illinois,lindenwood,54 - 55,W,home,1672363800,https://media-2.api-sports.io/basketball/teams/1894.png
2022-12-31T21:30:00+00:00,eastern illinois,southern indiana,80 - 91,W,home,1672522200,https://media-2.api-sports.io/basketball/teams/1894.png
2023-01-06T01:30:00+00:00,eastern illinois,tennessee tech,49 - 70,L,away,1672968600,https://media-1.api-sports.io/basketball/teams/1894.png
2023-01-07T20:00:00+00:00,eastern illinois,morehead state,59 - 69,L,away,1673121600,https://media-2.api-sports.io/basketball/teams/1894.png
2023-01-13T01:30:00+00:00,eastern illinois,siu edwardsville,,,home,1673573400,https://media-2.api-sports.io/basketball/teams/1894.png
2023-01-14T21:30:00+00:00,eastern illinois,ualr,,,home,1673731800,https://media-2.api-sports.io/basketball/teams/1894.png
2023-01-20T02:00:00+00:00,eastern illinois,tennessee state,,,away,1674180000,https://media-2.api-sports.io/basketball/teams/1894.png
2023-01-21T21:30:00+00:00,eastern illinois,ut martin,,,away,1674336600,https://media-1.api-sports.io/basketball/teams/1894.png
2023-01-27T01:30:00+00:00,eastern illinois,southern indiana,,,away,1674783000,https://media-1.api-sports.io/basketball/teams/1894.png
2023-01-28T21:30:00+00:00,eastern illinois,southeast missouri state,,,home,1674941400,https://media-1.api-sports.io/basketball/teams/1894.png
2023-02-03T02:00:00+00:00,eastern illinois,lindenwood,,,away,1675389600,https://media-2.api-sports.io/basketball/teams/1894.png
2023-02-04T21:30:00+00:00,eastern illinois,tennessee state,,,home,1675546200,https://media-2.api-sports.io/basketball/teams/1894.png
2023-02-10T01:30:00+00:00,eastern illinois,ut martin,,,home,1675992600,https://media-2.api-sports.io/basketball/teams/1894.png
2023-02-11T21:30:00+00:00,eastern illinois,siu edwardsville,,,away,1676151000,https://media-1.api-sports.io/basketball/teams/1894.png
2023-02-17T01:00:00+00:00,eastern illinois,southeast missouri state,,,away,1676595600,https://media-2.api-sports.io/basketball/teams/1894.png
2023-02-18T21:30:00+00:00,eastern illinois,ualr,,,away,1676755800,https://media-2.api-sports.io/basketball/teams/1894.png
2023-02-23T21:00:00+00:00,eastern illinois,morehead state,None - None,tie,home,1677186000,https://media-3.api-sports.io/basketball/teams/1894.png
2023-02-25T21:00:00+00:00,eastern illinois,tennessee tech,None - None,tie,home,1677358800,https://media-2.api-sports.io/basketball/teams/1894.png
