Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T02:30:00+00:00,florida gulf coast,usc,74 - 61,W,away,1667874600,https://media-1.api-sports.io/basketball/teams/1912.png
2022-11-10T03:00:00+00:00,florida gulf coast,san diego toreros,73 - 79,L,away,1668049200,https://media-1.api-sports.io/basketball/teams/1912.png
2022-11-13T23:00:00+00:00,florida gulf coast,ave maria,61 - 105,W,home,1668380400,https://media-1.api-sports.io/basketball/teams/1912.png
2022-11-17T00:00:00+00:00,florida gulf coast,tennessee,50 - 81,L,away,1668643200,https://media-1.api-sports.io/basketball/teams/1912.png
2022-11-22T00:30:00+00:00,florida gulf coast,northern kentucky,61 - 82,W,home,1669077000,https://media-2.api-sports.io/basketball/teams/1912.png
2022-11-23T00:30:00+00:00,florida gulf coast,drexel,59 - 67,W,home,1669163400,https://media-3.api-sports.io/basketball/teams/1912.png
2022-11-24T00:30:00+00:00,florida gulf coast,umkc,59 - 73,W,home,1669249800,https://media-2.api-sports.io/basketball/teams/1912.png
2022-12-01T00:30:00+00:00,florida gulf coast,georgia southern,70 - 53,W,away,1669854600,https://media-3.api-sports.io/basketball/teams/1912.png
2022-12-04T23:00:00+00:00,florida gulf coast,florida international,65 - 74,W,home,1670194800,https://media-2.api-sports.io/basketball/teams/1912.png
2022-12-08T00:00:00+00:00,florida gulf coast,florida atlantic,53 - 85,L,away,1670457600,https://media-2.api-sports.io/basketball/teams/1912.png
2022-12-11T00:00:00+00:00,florida gulf coast,mercer,62 - 67,W,home,1670716800,https://media-1.api-sports.io/basketball/teams/1912.png
2022-12-17T00:00:00+00:00,florida gulf coast,st. bonaventure,71 - 58,W,away,1671235200,https://media-3.api-sports.io/basketball/teams/1912.png
2022-12-22T00:00:00+00:00,florida gulf coast,canisius,81 - 84,W,home,1671667200,https://media-1.api-sports.io/basketball/teams/1912.png
2022-12-31T18:00:00+00:00,florida gulf coast,jacksonville,65 - 72,W,home,1672509600,https://media-1.api-sports.io/basketball/teams/1912.png
2023-01-03T01:30:00+00:00,florida gulf coast,central arkansas,84 - 79,W,away,1672709400,https://media-2.api-sports.io/basketball/teams/1912.png
2023-01-06T01:00:00+00:00,florida gulf coast,austin peay,59 - 61,L,away,1672966800,https://media-1.api-sports.io/basketball/teams/1912.png
2023-01-08T00:00:00+00:00,florida gulf coast,north florida,57 - 82,W,home,1673136000,https://media-3.api-sports.io/basketball/teams/1912.png
2023-01-13T00:00:00+00:00,florida gulf coast,eastern kentucky,,,away,1673568000,https://media-3.api-sports.io/basketball/teams/1912.png
2023-01-14T21:00:00+00:00,florida gulf coast,bellarmine,,,away,1673730000,https://media-2.api-sports.io/basketball/teams/1912.png
2023-01-19T23:00:00+00:00,florida gulf coast,jacksonville state,,,home,1674169200,https://media-3.api-sports.io/basketball/teams/1912.png
2023-01-22T00:00:00+00:00,florida gulf coast,kennesaw state,,,home,1674345600,https://media-1.api-sports.io/basketball/teams/1912.png
2023-01-27T00:00:00+00:00,florida gulf coast,queens royals,,,away,1674777600,https://media-2.api-sports.io/basketball/teams/1912.png
2023-01-29T00:00:00+00:00,florida gulf coast,liberty,,,away,1674950400,https://media-1.api-sports.io/basketball/teams/1912.png
2023-02-03T00:00:00+00:00,florida gulf coast,central arkansas,,,home,1675382400,https://media-2.api-sports.io/basketball/teams/1912.png
2023-02-05T00:00:00+00:00,florida gulf coast,north alabama,,,home,1675555200,https://media-3.api-sports.io/basketball/teams/1912.png
2023-02-10T00:00:00+00:00,florida gulf coast,north florida,,,away,1675987200,https://media-2.api-sports.io/basketball/teams/1912.png
2023-02-11T21:00:00+00:00,florida gulf coast,jacksonville,,,away,1676149200,https://media-3.api-sports.io/basketball/teams/1912.png
2023-02-16T00:00:00+00:00,florida gulf coast,stetson,,,away,1676505600,https://media-1.api-sports.io/basketball/teams/1912.png
2023-02-18T23:00:00+00:00,florida gulf coast,stetson,,,home,1676761200,https://media-3.api-sports.io/basketball/teams/1912.png
2023-02-22T21:00:00+00:00,florida gulf coast,lipscomb,None - None,tie,home,1677099600,https://media-3.api-sports.io/basketball/teams/1912.png
2023-02-24T21:00:00+00:00,florida gulf coast,austin peay,None - None,tie,home,1677272400,https://media-3.api-sports.io/basketball/teams/1912.png
