Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-09T03:00:00+00:00,georgia southern,san jose state,48 - 63,L,away,1667962800,https://media-2.api-sports.io/basketball/teams/1501.png
2022-11-11T03:00:00+00:00,georgia southern,santa clara,62 - 78,L,away,1668135600,https://media-2.api-sports.io/basketball/teams/1501.png
2022-11-13T00:00:00+00:00,georgia southern,trinity baptist,32 - 53,W,home,1668297600,https://media-3.api-sports.io/basketball/teams/1501.png
2022-11-19T00:00:00+00:00,georgia southern,rice,71 - 88,L,away,1668816000,https://media-2.api-sports.io/basketball/teams/1501.png
2022-11-20T01:00:00+00:00,georgia southern,houston christian,84 - 77,W,away,1668906000,https://media-2.api-sports.io/basketball/teams/1501.png
2022-11-20T18:00:00+00:00,georgia southern,western michigan,63 - 57,W,away,1668967200,https://media-3.api-sports.io/basketball/teams/1501.png
2022-11-26T18:00:00+00:00,georgia southern,oglethorpe,73 - 101,W,home,1669485600,https://media-3.api-sports.io/basketball/teams/1501.png
2022-12-01T00:30:00+00:00,georgia southern,florida gulf coast,70 - 53,L,home,1669854600,https://media-3.api-sports.io/basketball/teams/1501.png
2022-12-08T00:00:00+00:00,georgia southern,piedmont,47 - 91,W,home,1670457600,https://media-3.api-sports.io/basketball/teams/1501.png
2022-12-10T20:00:00+00:00,georgia southern,wofford,57 - 79,W,home,1670702400,https://media-3.api-sports.io/basketball/teams/1501.png
2022-12-15T00:00:00+00:00,georgia southern,morehead state,74 - 71,L,home,1671062400,https://media-2.api-sports.io/basketball/teams/1501.png
2022-12-17T20:00:00+00:00,georgia southern,campbell,53 - 54,W,home,1671307200,https://media-3.api-sports.io/basketball/teams/1501.png
2022-12-22T00:00:00+00:00,georgia southern,ball state,54 - 58,L,away,1671667200,https://media-3.api-sports.io/basketball/teams/1501.png
2022-12-30T01:00:00+00:00,georgia southern,south alabama,50 - 64,W,home,1672362000,https://media-1.api-sports.io/basketball/teams/1501.png
2022-12-31T19:00:00+00:00,georgia southern,coastal carolina,73 - 64,W,away,1672513200,https://media-3.api-sports.io/basketball/teams/1501.png
2023-01-06T00:00:00+00:00,georgia southern,marshall,76 - 81,W,home,1672963200,https://media-1.api-sports.io/basketball/teams/1501.png
2023-01-07T20:00:00+00:00,georgia southern,old dominion,81 - 75,L,home,1673121600,https://media-1.api-sports.io/basketball/teams/1501.png
2023-01-12T23:30:00+00:00,georgia southern,appalachian state,,,away,1673566200,https://media-2.api-sports.io/basketball/teams/1501.png
2023-01-15T00:00:00+00:00,georgia southern,james madison,,,away,1673740800,https://media-3.api-sports.io/basketball/teams/1501.png
2023-01-20T00:00:00+00:00,georgia southern,louisiana monroe,,,home,1674172800,https://media-3.api-sports.io/basketball/teams/1501.png
2023-01-21T20:00:00+00:00,georgia southern,georgia state,,,home,1674331200,https://media-3.api-sports.io/basketball/teams/1501.png
2023-01-27T01:00:00+00:00,georgia southern,texas state,,,away,1674781200,https://media-3.api-sports.io/basketball/teams/1501.png
2023-01-29T01:00:00+00:00,georgia southern,louisiana lafayette,,,away,1674954000,https://media-2.api-sports.io/basketball/teams/1501.png
2023-02-03T00:00:00+00:00,georgia southern,georgia state,,,away,1675382400,https://media-3.api-sports.io/basketball/teams/1501.png
2023-02-05T00:00:00+00:00,georgia southern,old dominion,,,away,1675555200,https://media-2.api-sports.io/basketball/teams/1501.png
2023-02-10T00:00:00+00:00,georgia southern,james madison,,,home,1675987200,https://media-2.api-sports.io/basketball/teams/1501.png
2023-02-11T20:00:00+00:00,georgia southern,arkansas state,,,home,1676145600,https://media-2.api-sports.io/basketball/teams/1501.png
2023-02-17T00:00:00+00:00,georgia southern,marshall,,,away,1676592000,https://media-3.api-sports.io/basketball/teams/1501.png
2023-02-18T18:00:00+00:00,georgia southern,southern miss,,,away,1676743200,https://media-1.api-sports.io/basketball/teams/1501.png
2023-02-22T21:00:00+00:00,georgia southern,coastal carolina,None - None,tie,home,1677099600,https://media-3.api-sports.io/basketball/teams/1501.png
2023-02-24T21:00:00+00:00,georgia southern,appalachian state,None - None,tie,home,1677272400,https://media-2.api-sports.io/basketball/teams/1501.png
