Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-10T00:00:00+00:00,hampton,james madison,58 - 106,L,away,1668038400,https://media-3.api-sports.io/basketball/teams/233.png
2022-11-13T01:00:00+00:00,hampton,regent university,60 - 89,W,home,1668301200,https://media-2.api-sports.io/basketball/teams/233.png
2022-11-17T00:00:00+00:00,hampton,east carolina,73 - 82,L,away,1668643200,https://media-3.api-sports.io/basketball/teams/233.png
2022-11-22T02:00:00+00:00,hampton,uc santa barbara,66 - 79,L,away,1669082400,https://media-1.api-sports.io/basketball/teams/233.png
2022-11-22T21:00:00+00:00,hampton,north alabama,75 - 74,L,home,1669150800,https://media-2.api-sports.io/basketball/teams/233.png
2022-11-26T17:30:00+00:00,hampton,wake forest,70 - 97,L,away,1669483800,https://media-3.api-sports.io/basketball/teams/233.png
2022-12-01T00:00:00+00:00,hampton,georgia,54 - 73,L,away,1669852800,https://media-1.api-sports.io/basketball/teams/233.png
2022-12-03T22:00:00+00:00,hampton,howard,65 - 74,W,home,1670104800,https://media-1.api-sports.io/basketball/teams/233.png
2022-12-08T00:00:00+00:00,hampton,loyola maryland,61 - 65,W,home,1670457600,https://media-3.api-sports.io/basketball/teams/233.png
2022-12-11T21:00:00+00:00,hampton,bowling green,86 - 72,L,home,1670792400,https://media-1.api-sports.io/basketball/teams/233.png
2022-12-17T21:00:00+00:00,hampton,norfolk state,66 - 78,L,away,1671310800,https://media-2.api-sports.io/basketball/teams/233.png
2022-12-18T21:30:00+00:00,hampton,texas southern,82 - 77,L,home,1671399000,https://media-3.api-sports.io/basketball/teams/233.png
2022-12-30T00:00:00+00:00,hampton,charleston,61 - 89,L,away,1672358400,https://media-3.api-sports.io/basketball/teams/233.png
2022-12-31T19:00:00+00:00,hampton,nc wilmington,65 - 82,L,away,1672513200,https://media-2.api-sports.io/basketball/teams/233.png
2023-01-06T00:00:00+00:00,hampton,hofstra,67 - 51,L,home,1672963200,https://media-1.api-sports.io/basketball/teams/233.png
2023-01-07T21:00:00+00:00,hampton,northeastern,79 - 63,L,home,1673125200,https://media-1.api-sports.io/basketball/teams/233.png
2023-01-12T00:00:00+00:00,hampton,william & mary,,,away,1673481600,https://media-1.api-sports.io/basketball/teams/233.png
2023-01-17T00:00:00+00:00,hampton,n. carolina a&t,,,home,1673913600,https://media-2.api-sports.io/basketball/teams/233.png
2023-01-20T00:00:00+00:00,hampton,drexel,,,away,1674172800,https://media-1.api-sports.io/basketball/teams/233.png
2023-01-21T19:30:00+00:00,hampton,monmouth,,,away,1674329400,https://media-1.api-sports.io/basketball/teams/233.png
2023-01-27T00:00:00+00:00,hampton,delaware,,,home,1674777600,https://media-3.api-sports.io/basketball/teams/233.png
2023-01-28T21:00:00+00:00,hampton,stony brook,,,home,1674939600,https://media-2.api-sports.io/basketball/teams/233.png
2023-02-03T00:00:00+00:00,hampton,william & mary,,,home,1675382400,https://media-2.api-sports.io/basketball/teams/233.png
2023-02-04T22:00:00+00:00,hampton,norfolk state,,,away,1675548000,https://media-2.api-sports.io/basketball/teams/233.png
2023-02-09T00:00:00+00:00,hampton,towson,,,away,1675900800,https://media-1.api-sports.io/basketball/teams/233.png
2023-02-11T21:00:00+00:00,hampton,charleston,,,home,1676149200,https://media-1.api-sports.io/basketball/teams/233.png
2023-02-14T02:00:00+00:00,hampton,elon,,,away,1676340000,https://media-3.api-sports.io/basketball/teams/233.png
2023-02-17T00:00:00+00:00,hampton,hofstra,,,away,1676592000,https://media-3.api-sports.io/basketball/teams/233.png
2023-02-18T21:00:00+00:00,hampton,drexel,,,home,1676754000,https://media-3.api-sports.io/basketball/teams/233.png
2023-02-23T21:00:00+00:00,hampton,monmouth,None - None,tie,home,1677186000,https://media-3.api-sports.io/basketball/teams/233.png
2023-02-25T21:00:00+00:00,hampton,n. carolina a&t,None - None,tie,away,1677358800,https://media-2.api-sports.io/basketball/teams/233.png
