Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-09T00:00:00+00:00,hartford,sacred heart,77 - 70,L,home,1667952000,https://media-3.api-sports.io/basketball/teams/1930.png
2022-11-11T00:00:00+00:00,hartford,nvu-lyndon,43 - 85,W,home,1668124800,https://media-2.api-sports.io/basketball/teams/1930.png
2022-11-13T00:00:00+00:00,hartford,st. francis (pa),53 - 77,L,away,1668297600,https://media-3.api-sports.io/basketball/teams/1930.png
2022-11-18T00:00:00+00:00,hartford,boston university,66 - 102,L,away,1668729600,https://media-1.api-sports.io/basketball/teams/1930.png
2022-11-19T19:00:00+00:00,hartford,houghton,32 - 98,W,home,1668884400,https://media-1.api-sports.io/basketball/teams/1930.png
2022-11-22T23:00:00+00:00,hartford,fdu-florham,45 - 82,W,home,1669158000,https://media-2.api-sports.io/basketball/teams/1930.png
2022-11-25T21:30:00+00:00,hartford,penn,55 - 75,L,away,1669411800,https://media-1.api-sports.io/basketball/teams/1930.png
2022-11-26T19:00:00+00:00,hartford,delaware,78 - 50,L,home,1669489200,https://media-1.api-sports.io/basketball/teams/1930.png
2022-11-27T19:00:00+00:00,hartford,colgate,92 - 58,L,home,1669575600,https://media-3.api-sports.io/basketball/teams/1930.png
2022-12-01T00:00:00+00:00,hartford,fairleigh dickinson,66 - 74,W,home,1669852800,https://media-1.api-sports.io/basketball/teams/1930.png
2022-12-04T19:00:00+00:00,hartford,brown,65 - 51,L,home,1670180400,https://media-3.api-sports.io/basketball/teams/1930.png
2022-12-07T00:00:00+00:00,hartford,st. francis brooklyn,50 - 68,L,away,1670371200,https://media-1.api-sports.io/basketball/teams/1930.png
2022-12-14T00:00:00+00:00,hartford,st. peters,58 - 57,L,home,1670976000,https://media-1.api-sports.io/basketball/teams/1930.png
2022-12-17T21:00:00+00:00,hartford,st. francis brooklyn,67 - 51,L,home,1671310800,https://media-3.api-sports.io/basketball/teams/1930.png
2022-12-23T02:00:00+00:00,hartford,san francisco,53 - 85,L,away,1671760800,https://media-3.api-sports.io/basketball/teams/1930.png
2022-12-30T23:00:00+00:00,hartford,morgan state,61 - 54,L,home,1672441200,https://media-3.api-sports.io/basketball/teams/1930.png
2023-01-07T19:00:00+00:00,hartford,sacred heart,71 - 78,L,away,1673118000,https://media-3.api-sports.io/basketball/teams/1930.png
2023-01-11T00:00:00+00:00,hartford,st. francis brooklyn,,,away,1673395200,https://media-2.api-sports.io/basketball/teams/1930.png
2023-01-16T22:00:00+00:00,hartford,umbc retrievers,,,away,1673906400,https://media-2.api-sports.io/basketball/teams/1930.png
2023-01-18T23:00:00+00:00,hartford,morgan state,,,away,1674082800,https://media-3.api-sports.io/basketball/teams/1930.png
2023-01-24T00:00:00+00:00,hartford,penn,,,home,1674518400,https://media-3.api-sports.io/basketball/teams/1930.png
2023-01-26T00:00:00+00:00,hartford,stonehill,,,home,1674691200,https://media-2.api-sports.io/basketball/teams/1930.png
2023-02-04T19:00:00+00:00,hartford,chicago state,,,home,1675537200,https://media-2.api-sports.io/basketball/teams/1930.png
2023-02-06T23:00:00+00:00,hartford,umass lowell,,,home,1675724400,https://media-2.api-sports.io/basketball/teams/1930.png
2023-02-09T00:00:00+00:00,hartford,central connecticut state,,,home,1675900800,https://media-2.api-sports.io/basketball/teams/1930.png
2023-02-14T01:00:00+00:00,hartford,south alabama,,,away,1676336400,https://media-1.api-sports.io/basketball/teams/1930.png
2023-02-17T00:00:00+00:00,hartford,merrimack warriors,,,home,1676592000,https://media-3.api-sports.io/basketball/teams/1930.png
