Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T00:00:00+00:00,jacksonville,duke,44 - 71,L,away,1667865600,https://media-2.api-sports.io/basketball/teams/1953.png
2022-11-11T19:00:00+00:00,jacksonville,johnson suns,34 - 85,W,home,1668193200,https://media-3.api-sports.io/basketball/teams/1953.png
2022-11-20T19:00:00+00:00,jacksonville,voorhees,61 - 91,W,home,1668970800,https://media-3.api-sports.io/basketball/teams/1953.png
2022-11-23T21:00:00+00:00,jacksonville,campbell,64 - 43,W,away,1669237200,https://media-2.api-sports.io/basketball/teams/1953.png
2022-12-01T00:30:00+00:00,jacksonville,uab,61 - 80,L,away,1669854600,https://media-3.api-sports.io/basketball/teams/1953.png
2022-12-03T21:00:00+00:00,jacksonville,trinity baptist,39 - 74,W,home,1670101200,https://media-1.api-sports.io/basketball/teams/1953.png
2022-12-08T00:00:00+00:00,jacksonville,vcu rams,73 - 62,W,away,1670457600,https://media-1.api-sports.io/basketball/teams/1953.png
2022-12-10T21:00:00+00:00,jacksonville,nc wilmington,53 - 81,L,away,1670706000,https://media-1.api-sports.io/basketball/teams/1953.png
2022-12-17T21:00:00+00:00,jacksonville,charleston southern,63 - 72,W,home,1671310800,https://media-2.api-sports.io/basketball/teams/1953.png
2022-12-20T17:30:00+00:00,jacksonville,louisiana monroe,66 - 55,W,away,1671557400,https://media-3.api-sports.io/basketball/teams/1953.png
2022-12-28T00:00:00+00:00,jacksonville,notre dame,43 - 59,L,away,1672185600,https://media-2.api-sports.io/basketball/teams/1953.png
2022-12-31T18:00:00+00:00,jacksonville,florida gulf coast,65 - 72,L,away,1672509600,https://media-3.api-sports.io/basketball/teams/1953.png
2023-01-03T00:00:00+00:00,jacksonville,jacksonville state,46 - 62,W,home,1672704000,https://media-2.api-sports.io/basketball/teams/1953.png
2023-01-06T00:00:00+00:00,jacksonville,stetson,61 - 73,L,away,1672963200,https://media-2.api-sports.io/basketball/teams/1953.png
2023-01-07T22:00:00+00:00,jacksonville,lipscomb,44 - 51,W,home,1673128800,https://media-2.api-sports.io/basketball/teams/1953.png
2023-01-13T00:00:00+00:00,jacksonville,kennesaw state,,,away,1673568000,https://media-2.api-sports.io/basketball/teams/1953.png
2023-01-14T22:00:00+00:00,jacksonville,jacksonville state,,,away,1673733600,https://media-1.api-sports.io/basketball/teams/1953.png
2023-01-20T00:00:00+00:00,jacksonville,liberty,,,home,1674172800,https://media-3.api-sports.io/basketball/teams/1953.png
2023-01-21T21:00:00+00:00,jacksonville,queens royals,,,home,1674334800,https://media-1.api-sports.io/basketball/teams/1953.png
2023-01-27T00:00:00+00:00,jacksonville,north alabama,,,away,1674777600,https://media-3.api-sports.io/basketball/teams/1953.png
2023-01-28T21:00:00+00:00,jacksonville,central arkansas,,,away,1674939600,https://media-1.api-sports.io/basketball/teams/1953.png
2023-02-03T00:00:00+00:00,jacksonville,north florida,,,home,1675382400,https://media-3.api-sports.io/basketball/teams/1953.png
2023-02-04T22:00:00+00:00,jacksonville,north florida,,,away,1675548000,https://media-3.api-sports.io/basketball/teams/1953.png
2023-02-10T00:00:00+00:00,jacksonville,stetson,,,home,1675987200,https://media-2.api-sports.io/basketball/teams/1953.png
2023-02-11T21:00:00+00:00,jacksonville,florida gulf coast,,,home,1676149200,https://media-1.api-sports.io/basketball/teams/1953.png
2023-02-17T01:00:00+00:00,jacksonville,austin peay,,,away,1676595600,https://media-3.api-sports.io/basketball/teams/1953.png
2023-02-18T22:00:00+00:00,jacksonville,lipscomb,,,away,1676757600,https://media-3.api-sports.io/basketball/teams/1953.png
2023-02-22T21:00:00+00:00,jacksonville,bellarmine,None - None,tie,home,1677099600,https://media-2.api-sports.io/basketball/teams/1953.png
2023-02-24T21:00:00+00:00,jacksonville,eastern kentucky,None - None,tie,home,1677272400,https://media-1.api-sports.io/basketball/teams/1953.png
