Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T00:00:00+00:00,liberty,regent university,38 - 104,W,home,1667865600,https://media-3.api-sports.io/basketball/teams/1972.png
2022-11-12T01:00:00+00:00,liberty,alabama,59 - 95,L,away,1668214800,https://media-3.api-sports.io/basketball/teams/1972.png
2022-11-15T00:00:00+00:00,liberty,n. carolina central,63 - 79,W,home,1668470400,https://media-3.api-sports.io/basketball/teams/1972.png
2022-11-19T00:00:00+00:00,liberty,southern miss,76 - 72,L,home,1668816000,https://media-3.api-sports.io/basketball/teams/1972.png
2022-11-23T01:30:00+00:00,liberty,northwestern,52 - 66,L,away,1669167000,https://media-1.api-sports.io/basketball/teams/1972.png
2022-11-23T23:00:00+00:00,liberty,bradley,44 - 55,W,home,1669244400,https://media-1.api-sports.io/basketball/teams/1972.png
2022-11-26T22:00:00+00:00,liberty,delaware state,53 - 80,W,home,1669500000,https://media-2.api-sports.io/basketball/teams/1972.png
2022-12-03T00:00:00+00:00,liberty,md.-east. shore,59 - 79,W,home,1670025600,https://media-1.api-sports.io/basketball/teams/1972.png
2022-12-07T00:00:00+00:00,liberty,summit,49 - 101,W,home,1670371200,https://media-2.api-sports.io/basketball/teams/1972.png
2022-12-13T01:00:00+00:00,liberty,oral roberts,70 - 84,L,away,1670893200,https://media-1.api-sports.io/basketball/teams/1972.png
2022-12-17T17:30:00+00:00,liberty,bryant university,62 - 82,W,home,1671298200,https://media-3.api-sports.io/basketball/teams/1972.png
2022-12-20T00:00:00+00:00,liberty,grambling st.,56 - 75,W,home,1671494400,https://media-3.api-sports.io/basketball/teams/1972.png
2022-12-21T17:00:00+00:00,liberty,mid-atlantic,50 - 88,W,home,1671642000,https://media-3.api-sports.io/basketball/teams/1972.png
2022-12-29T23:30:00+00:00,liberty,bellarmine,70 - 53,W,away,1672356600,https://media-2.api-sports.io/basketball/teams/1972.png
2023-01-03T00:00:00+00:00,liberty,lipscomb,48 - 77,W,home,1672704000,https://media-3.api-sports.io/basketball/teams/1972.png
2023-01-06T00:00:00+00:00,liberty,jacksonville state,41 - 75,W,home,1672963200,https://media-3.api-sports.io/basketball/teams/1972.png
2023-01-08T18:00:00+00:00,liberty,eastern kentucky,59 - 62,L,away,1673200800,https://media-3.api-sports.io/basketball/teams/1972.png
2023-01-13T00:00:00+00:00,liberty,north alabama,,,home,1673568000,https://media-1.api-sports.io/basketball/teams/1972.png
2023-01-15T00:00:00+00:00,liberty,central arkansas,,,home,1673740800,https://media-2.api-sports.io/basketball/teams/1972.png
2023-01-20T00:00:00+00:00,liberty,jacksonville,,,away,1674172800,https://media-2.api-sports.io/basketball/teams/1972.png
2023-01-21T19:00:00+00:00,liberty,north florida,,,away,1674327600,https://media-1.api-sports.io/basketball/teams/1972.png
2023-01-27T00:00:00+00:00,liberty,stetson,,,home,1674777600,https://media-2.api-sports.io/basketball/teams/1972.png
2023-01-29T00:00:00+00:00,liberty,florida gulf coast,,,home,1674950400,https://media-3.api-sports.io/basketball/teams/1972.png
2023-02-03T01:00:00+00:00,liberty,austin peay,,,away,1675386000,https://media-2.api-sports.io/basketball/teams/1972.png
2023-02-04T22:00:00+00:00,liberty,lipscomb,,,away,1675548000,https://media-3.api-sports.io/basketball/teams/1972.png
2023-02-10T00:00:00+00:00,liberty,bellarmine,,,home,1675987200,https://media-1.api-sports.io/basketball/teams/1972.png
2023-02-12T00:00:00+00:00,liberty,eastern kentucky,,,home,1676160000,https://media-1.api-sports.io/basketball/teams/1972.png
2023-02-17T00:00:00+00:00,liberty,kennesaw state,,,away,1676592000,https://media-3.api-sports.io/basketball/teams/1972.png
2023-02-18T22:00:00+00:00,liberty,jacksonville state,,,away,1676757600,https://media-1.api-sports.io/basketball/teams/1972.png
2023-02-22T21:00:00+00:00,liberty,queens royals,None - None,tie,away,1677099600,https://media-1.api-sports.io/basketball/teams/1972.png
2023-02-24T21:00:00+00:00,liberty,queens royals,None - None,tie,home,1677272400,https://media-3.api-sports.io/basketball/teams/1972.png
