Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T01:30:00+00:00,longwood,alabama,54 - 75,L,away,1667871000,https://media-1.api-sports.io/basketball/teams/216.png
2022-11-12T00:00:00+00:00,longwood,george mason,69 - 83,L,away,1668211200,https://media-3.api-sports.io/basketball/teams/216.png
2022-11-13T20:00:00+00:00,longwood,pfeiffer falcons,68 - 100,W,home,1668369600,https://media-1.api-sports.io/basketball/teams/216.png
2022-11-18T22:00:00+00:00,longwood,vmi,58 - 90,W,home,1668808800,https://media-3.api-sports.io/basketball/teams/216.png
2022-11-19T22:00:00+00:00,longwood,fairleigh dickinson,83 - 99,W,home,1668895200,https://media-1.api-sports.io/basketball/teams/216.png
2022-11-20T18:30:00+00:00,longwood,siu edwardsville,61 - 56,L,home,1668969000,https://media-3.api-sports.io/basketball/teams/216.png
2022-11-25T17:00:00+00:00,longwood,mary baldwin,60 - 112,W,home,1669395600,https://media-3.api-sports.io/basketball/teams/216.png
2022-11-29T02:00:00+00:00,longwood,san diego toreros,68 - 71,L,away,1669687200,https://media-1.api-sports.io/basketball/teams/216.png
2022-12-03T20:00:00+00:00,longwood,delaware state,75 - 49,W,away,1670097600,https://media-3.api-sports.io/basketball/teams/216.png
2022-12-10T21:00:00+00:00,longwood,wichita state,63 - 81,L,away,1670706000,https://media-1.api-sports.io/basketball/teams/216.png
2022-12-13T19:00:00+00:00,longwood,st. francis brooklyn,63 - 57,W,away,1670958000,https://media-3.api-sports.io/basketball/teams/216.png
2022-12-17T18:00:00+00:00,longwood,citadel,75 - 70,W,away,1671300000,https://media-1.api-sports.io/basketball/teams/216.png
2022-12-20T19:00:00+00:00,longwood,south carolina st,77 - 104,W,home,1671562800,https://media-1.api-sports.io/basketball/teams/216.png
2022-12-29T20:00:00+00:00,longwood,high point,73 - 87,W,home,1672344000,https://media-1.api-sports.io/basketball/teams/216.png
2022-12-31T19:00:00+00:00,longwood,campbell,67 - 42,W,away,1672513200,https://media-3.api-sports.io/basketball/teams/216.png
2023-01-05T00:00:00+00:00,longwood,charleston southern,79 - 74,W,away,1672876800,https://media-1.api-sports.io/basketball/teams/216.png
2023-01-07T21:00:00+00:00,longwood,winthrop,71 - 85,W,home,1673125200,https://media-3.api-sports.io/basketball/teams/216.png
2023-01-13T00:00:00+00:00,longwood,unc asheville,,,away,1673568000,https://media-2.api-sports.io/basketball/teams/216.png
2023-01-14T21:00:00+00:00,longwood,usc upstate,,,home,1673730000,https://media-2.api-sports.io/basketball/teams/216.png
2023-01-19T00:00:00+00:00,longwood,gardner webb,,,home,1674086400,https://media-3.api-sports.io/basketball/teams/216.png
2023-01-21T19:00:00+00:00,longwood,presbyterian,,,away,1674327600,https://media-2.api-sports.io/basketball/teams/216.png
2023-01-26T00:00:00+00:00,longwood,radford,,,away,1674691200,https://media-1.api-sports.io/basketball/teams/216.png
2023-01-28T20:00:00+00:00,longwood,charleston southern,,,home,1674936000,https://media-3.api-sports.io/basketball/teams/216.png
2023-02-02T00:00:00+00:00,longwood,winthrop,,,away,1675296000,https://media-2.api-sports.io/basketball/teams/216.png
2023-02-04T21:00:00+00:00,longwood,campbell,,,home,1675544400,https://media-1.api-sports.io/basketball/teams/216.png
2023-02-09T00:00:00+00:00,longwood,presbyterian,,,home,1675900800,https://media-1.api-sports.io/basketball/teams/216.png
2023-02-11T21:00:00+00:00,longwood,high point,,,away,1676149200,https://media-1.api-sports.io/basketball/teams/216.png
2023-02-16T00:00:00+00:00,longwood,usc upstate,,,away,1676505600,https://media-1.api-sports.io/basketball/teams/216.png
2023-02-18T20:00:00+00:00,longwood,radford,,,home,1676750400,https://media-2.api-sports.io/basketball/teams/216.png
