Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T02:00:00+00:00,louisiana tech,mississippi coll.,61 - 78,W,home,1667872800,https://media-1.api-sports.io/basketball/teams/1976.png
2022-11-15T01:00:00+00:00,louisiana tech,texas tech,55 - 64,L,away,1668474000,https://media-3.api-sports.io/basketball/teams/1976.png
2022-11-18T01:00:00+00:00,louisiana tech,louisiana lafayette,88 - 94,L,away,1668733200,https://media-3.api-sports.io/basketball/teams/1976.png
2022-11-22T00:00:00+00:00,louisiana tech,louisiana monroe,58 - 79,W,home,1669075200,https://media-3.api-sports.io/basketball/teams/1976.png
2022-11-24T01:00:00+00:00,louisiana tech,alabama a&m,80 - 75,W,away,1669251600,https://media-3.api-sports.io/basketball/teams/1976.png
2022-11-25T20:00:00+00:00,louisiana tech,samford,79 - 76,W,away,1669406400,https://media-1.api-sports.io/basketball/teams/1976.png
2022-11-26T21:00:00+00:00,louisiana tech,ut southern,47 - 91,W,home,1669496400,https://media-1.api-sports.io/basketball/teams/1976.png
2022-12-03T00:00:00+00:00,louisiana tech,southern univ.,59 - 74,W,home,1670025600,https://media-2.api-sports.io/basketball/teams/1976.png
2022-12-11T02:00:00+00:00,louisiana tech,wyoming,65 - 92,L,away,1670724000,https://media-3.api-sports.io/basketball/teams/1976.png
2022-12-15T00:00:00+00:00,louisiana tech,stephen f. austin,80 - 79,L,home,1671062400,https://media-1.api-sports.io/basketball/teams/1976.png
2022-12-18T01:00:00+00:00,louisiana tech,utep,55 - 60,L,away,1671325200,https://media-3.api-sports.io/basketball/teams/1976.png
2022-12-21T18:00:00+00:00,louisiana tech,jarvis christian,52 - 108,W,home,1671645600,https://media-3.api-sports.io/basketball/teams/1976.png
2022-12-30T00:00:00+00:00,louisiana tech,utsa roadrunners,69 - 91,W,home,1672358400,https://media-3.api-sports.io/basketball/teams/1976.png
2022-12-31T19:00:00+00:00,louisiana tech,charlotte,66 - 68,L,away,1672513200,https://media-1.api-sports.io/basketball/teams/1976.png
2023-01-06T01:00:00+00:00,louisiana tech,rice,88 - 82,W,away,1672966800,https://media-1.api-sports.io/basketball/teams/1976.png
2023-01-07T20:00:00+00:00,louisiana tech,utep,58 - 60,W,home,1673121600,https://media-2.api-sports.io/basketball/teams/1976.png
2023-01-12T01:00:00+00:00,louisiana tech,north texas,65 - 67,L,away,1673485200,https://media-1.api-sports.io/basketball/teams/1976.png
2023-01-14T21:00:00+00:00,louisiana tech,uab,,,home,1673730000,https://media-1.api-sports.io/basketball/teams/1976.png
2023-01-20T02:00:00+00:00,louisiana tech,western kentucky,,,home,1674180000,https://media-1.api-sports.io/basketball/teams/1976.png
2023-01-21T22:00:00+00:00,louisiana tech,middle tenn. st.,,,home,1674338400,https://media-1.api-sports.io/basketball/teams/1976.png
2023-01-27T02:00:00+00:00,louisiana tech,uab,,,away,1674784800,https://media-2.api-sports.io/basketball/teams/1976.png
2023-01-28T21:00:00+00:00,louisiana tech,utsa roadrunners,,,away,1674939600,https://media-1.api-sports.io/basketball/teams/1976.png
2023-02-03T00:00:00+00:00,louisiana tech,rice,,,home,1675382400,https://media-2.api-sports.io/basketball/teams/1976.png
2023-02-10T00:00:00+00:00,louisiana tech,florida international,,,away,1675987200,https://media-1.api-sports.io/basketball/teams/1976.png
2023-02-11T19:00:00+00:00,louisiana tech,florida atlantic,,,away,1676142000,https://media-2.api-sports.io/basketball/teams/1976.png
2023-02-17T00:00:00+00:00,louisiana tech,north texas,,,home,1676592000,https://media-1.api-sports.io/basketball/teams/1976.png
2023-02-18T20:00:00+00:00,louisiana tech,charlotte,,,home,1676750400,https://media-3.api-sports.io/basketball/teams/1976.png
