Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T00:00:00+00:00,michigan state,northern arizona,55 - 73,W,home,1667865600,https://media-2.api-sports.io/basketball/teams/1995.png
2022-11-11T23:30:00+00:00,michigan state,gonzaga,63 - 64,L,away,1668209400,https://media-2.api-sports.io/basketball/teams/1995.png
2022-11-16T00:00:00+00:00,michigan state,kentucky,77 - 86,W,home,1668556800,https://media-2.api-sports.io/basketball/teams/1995.png
2022-11-19T01:00:00+00:00,michigan state,villanova,71 - 73,W,home,1668819600,https://media-3.api-sports.io/basketball/teams/1995.png
2022-11-25T03:30:00+00:00,michigan state,alabama,81 - 70,L,home,1669347000,https://media-1.api-sports.io/basketball/teams/1995.png
2022-11-26T04:59:00+00:00,michigan state,oregon,70 - 74,W,home,1669438740,https://media-3.api-sports.io/basketball/teams/1995.png
2022-11-27T22:30:00+00:00,michigan state,portland,77 - 78,W,home,1669588200,https://media-2.api-sports.io/basketball/teams/1995.png
2022-12-01T02:15:00+00:00,michigan state,notre dame,52 - 70,L,away,1669860900,https://media-3.api-sports.io/basketball/teams/1995.png
2022-12-05T00:00:00+00:00,michigan state,northwestern,70 - 63,L,home,1670198400,https://media-2.api-sports.io/basketball/teams/1995.png
2022-12-07T23:30:00+00:00,michigan state,penn state,67 - 58,W,away,1670455800,https://media-3.api-sports.io/basketball/teams/1995.png
2022-12-10T21:30:00+00:00,michigan state,brown,50 - 68,W,home,1670707800,https://media-1.api-sports.io/basketball/teams/1995.png
2022-12-21T23:30:00+00:00,michigan state,oakland,54 - 67,W,home,1671665400,https://media-2.api-sports.io/basketball/teams/1995.png
2022-12-30T23:00:00+00:00,michigan state,buffalo,68 - 89,W,home,1672441200,https://media-2.api-sports.io/basketball/teams/1995.png
2023-01-04T00:00:00+00:00,michigan state,nebraska,56 - 74,W,home,1672790400,https://media-1.api-sports.io/basketball/teams/1995.png
2023-01-07T19:30:00+00:00,michigan state,michigan,53 - 59,W,home,1673119800,https://media-2.api-sports.io/basketball/teams/1995.png
2023-01-11T00:00:00+00:00,michigan state,wisconsin,69 - 65,W,away,1673395200,https://media-1.api-sports.io/basketball/teams/1995.png
2023-01-14T02:00:00+00:00,michigan state,illinois,,,away,1673661600,https://media-3.api-sports.io/basketball/teams/1995.png
2023-01-16T19:30:00+00:00,michigan state,purdue,,,home,1673897400,https://media-1.api-sports.io/basketball/teams/1995.png
2023-01-19T23:30:00+00:00,michigan state,rutgers,,,home,1674171000,https://media-3.api-sports.io/basketball/teams/1995.png
2023-01-22T21:00:00+00:00,michigan state,indiana,,,away,1674421200,https://media-3.api-sports.io/basketball/teams/1995.png
2023-01-27T00:00:00+00:00,michigan state,iowa,,,home,1674777600,https://media-3.api-sports.io/basketball/teams/1995.png
2023-01-29T17:15:00+00:00,michigan state,purdue,,,away,1675012500,https://media-1.api-sports.io/basketball/teams/1995.png
2023-02-04T17:00:00+00:00,michigan state,rutgers,,,away,1675530000,https://media-3.api-sports.io/basketball/teams/1995.png
2023-02-08T02:00:00+00:00,michigan state,maryland,,,home,1675821600,https://media-1.api-sports.io/basketball/teams/1995.png
2023-02-12T18:00:00+00:00,michigan state,ohio state,,,away,1676224800,https://media-1.api-sports.io/basketball/teams/1995.png
2023-02-16T00:00:00+00:00,michigan state,minnesota,,,home,1676505600,https://media-1.api-sports.io/basketball/teams/1995.png
