Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-07T23:30:00+00:00,michigan,ipfw,56 - 75,W,home,1667863800,https://media-2.api-sports.io/basketball/teams/1994.png
2022-11-12T02:00:00+00:00,michigan,eastern michigan,83 - 88,W,home,1668218400,https://media-1.api-sports.io/basketball/teams/1994.png
2022-11-16T23:00:00+00:00,michigan,pittsburgh,91 - 60,W,away,1668639600,https://media-1.api-sports.io/basketball/teams/1994.png
2022-11-18T02:30:00+00:00,michigan,arizona state,62 - 87,L,away,1668738600,https://media-3.api-sports.io/basketball/teams/1994.png
2022-11-21T00:30:00+00:00,michigan,ohio,66 - 70,W,home,1668990600,https://media-1.api-sports.io/basketball/teams/1994.png
2022-11-24T01:30:00+00:00,michigan,jackson state,68 - 78,W,home,1669253400,https://media-3.api-sports.io/basketball/teams/1994.png
2022-11-30T02:30:00+00:00,michigan,virginia,70 - 68,L,home,1669775400,https://media-1.api-sports.io/basketball/teams/1994.png
2022-12-04T18:00:00+00:00,michigan,kentucky,69 - 73,L,away,1670176800,https://media-2.api-sports.io/basketball/teams/1994.png
2022-12-09T02:00:00+00:00,michigan,minnesota,90 - 75,W,away,1670551200,https://media-2.api-sports.io/basketball/teams/1994.png
2022-12-17T21:00:00+00:00,michigan,lipscomb,75 - 83,W,home,1671310800,https://media-3.api-sports.io/basketball/teams/1994.png
2022-12-22T00:00:00+00:00,michigan,north carolina,76 - 80,L,away,1671667200,https://media-2.api-sports.io/basketball/teams/1994.png
2022-12-30T00:00:00+00:00,michigan,central michigan,63 - 61,L,home,1672358400,https://media-1.api-sports.io/basketball/teams/1994.png
2023-01-01T21:30:00+00:00,michigan,maryland,46 - 81,W,home,1672608600,https://media-3.api-sports.io/basketball/teams/1994.png
2023-01-05T00:00:00+00:00,michigan,penn state,69 - 79,W,home,1672876800,https://media-3.api-sports.io/basketball/teams/1994.png
2023-01-07T19:30:00+00:00,michigan,michigan state,53 - 59,L,away,1673119800,https://media-3.api-sports.io/basketball/teams/1994.png
2023-01-13T00:00:00+00:00,michigan,iowa,,,away,1673568000,https://media-1.api-sports.io/basketball/teams/1994.png
2023-01-15T21:00:00+00:00,michigan,northwestern,,,home,1673816400,https://media-2.api-sports.io/basketball/teams/1994.png
2023-01-20T00:00:00+00:00,michigan,maryland,,,away,1674172800,https://media-2.api-sports.io/basketball/teams/1994.png
2023-01-22T21:00:00+00:00,michigan,minnesota,,,home,1674421200,https://media-2.api-sports.io/basketball/teams/1994.png
2023-01-27T02:00:00+00:00,michigan,purdue,,,home,1674784800,https://media-2.api-sports.io/basketball/teams/1994.png
2023-01-29T17:00:00+00:00,michigan,penn state,,,away,1675011600,https://media-3.api-sports.io/basketball/teams/1994.png
2023-02-03T00:00:00+00:00,michigan,northwestern,,,away,1675382400,https://media-2.api-sports.io/basketball/teams/1994.png
2023-02-05T18:00:00+00:00,michigan,ohio state,,,home,1675620000,https://media-3.api-sports.io/basketball/teams/1994.png
2023-02-08T23:30:00+00:00,michigan,nebraska,,,home,1675899000,https://media-1.api-sports.io/basketball/teams/1994.png
2023-02-11T23:00:00+00:00,michigan,indiana,,,home,1676156400,https://media-1.api-sports.io/basketball/teams/1994.png
2023-02-15T02:00:00+00:00,michigan,wisconsin,,,away,1676426400,https://media-3.api-sports.io/basketball/teams/1994.png
