Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-07T17:00:00+00:00,miss. valley st.,baylor,53 - 117,L,away,1667840400,https://media-3.api-sports.io/basketball/teams/5802.png
2022-11-12T04:59:00+00:00,miss. valley st.,hawaii,54 - 72,L,away,1668229140,https://media-1.api-sports.io/basketball/teams/5802.png
2022-11-14T00:30:00+00:00,miss. valley st.,yale,51 - 80,L,away,1668385800,https://media-2.api-sports.io/basketball/teams/5802.png
2022-11-15T03:30:00+00:00,miss. valley st.,east. washington,52 - 60,L,away,1668483000,https://media-1.api-sports.io/basketball/teams/5802.png
2022-11-19T01:00:00+00:00,miss. valley st.,north alabama,68 - 76,W,home,1668819600,https://media-2.api-sports.io/basketball/teams/5802.png
2022-11-21T00:30:00+00:00,miss. valley st.,missouri,62 - 83,L,away,1668990600,https://media-2.api-sports.io/basketball/teams/5802.png
2022-11-23T23:00:00+00:00,miss. valley st.,air force,51 - 64,L,away,1669244400,https://media-1.api-sports.io/basketball/teams/5802.png
2022-11-26T21:00:00+00:00,miss. valley st.,colorado state,45 - 88,L,away,1669496400,https://media-1.api-sports.io/basketball/teams/5802.png
2022-12-02T01:00:00+00:00,miss. valley st.,arkansas state,38 - 58,L,away,1669942800,https://media-3.api-sports.io/basketball/teams/5802.png
2022-12-03T19:00:00+00:00,miss. valley st.,mississippi st.,52 - 82,L,away,1670094000,https://media-1.api-sports.io/basketball/teams/5802.png
2022-12-14T01:00:00+00:00,miss. valley st.,wichita state,48 - 71,L,away,1670979600,https://media-3.api-sports.io/basketball/teams/5802.png
2022-12-17T01:00:00+00:00,miss. valley st.,tulsa,51 - 66,L,away,1671238800,https://media-2.api-sports.io/basketball/teams/5802.png
2022-12-18T23:00:00+00:00,miss. valley st.,tcu,43 - 88,L,away,1671404400,https://media-3.api-sports.io/basketball/teams/5802.png
2022-12-22T01:00:00+00:00,miss. valley st.,tulane,63 - 84,L,away,1671670800,https://media-2.api-sports.io/basketball/teams/5802.png
2023-01-02T23:30:00+00:00,miss. valley st.,alabama state,61 - 70,L,away,1672702200,https://media-3.api-sports.io/basketball/teams/5802.png
2023-01-05T01:00:00+00:00,miss. valley st.,alabama a&m,68 - 75,L,away,1672880400,https://media-2.api-sports.io/basketball/teams/5802.png
2023-01-08T00:00:00+00:00,miss. valley st.,prairie view a&m,67 - 60,L,home,1673136000,https://media-3.api-sports.io/basketball/teams/5802.png
2023-01-10T01:30:00+00:00,miss. valley st.,texas southern,67 - 71,W,home,1673314200,https://media-1.api-sports.io/basketball/teams/5802.png
2023-01-14T21:00:00+00:00,miss. valley st.,bethune-cookman,,,away,1673730000,https://media-3.api-sports.io/basketball/teams/5802.png
2023-01-17T00:30:00+00:00,miss. valley st.,florida a&m,,,away,1673915400,https://media-3.api-sports.io/basketball/teams/5802.png
2023-01-22T00:00:00+00:00,miss. valley st.,grambling st.,,,home,1674345600,https://media-3.api-sports.io/basketball/teams/5802.png
2023-01-24T01:30:00+00:00,miss. valley st.,southern univ.,,,home,1674523800,https://media-1.api-sports.io/basketball/teams/5802.png
2023-01-28T23:30:00+00:00,miss. valley st.,arkansas-pine bluff,,,away,1674948600,https://media-1.api-sports.io/basketball/teams/5802.png
2023-02-04T23:30:00+00:00,miss. valley st.,jackson state,,,away,1675553400,https://media-3.api-sports.io/basketball/teams/5802.png
2023-02-07T01:00:00+00:00,miss. valley st.,alcorn state,,,away,1675731600,https://media-1.api-sports.io/basketball/teams/5802.png
2023-02-12T00:00:00+00:00,miss. valley st.,alabama a&m,,,home,1676160000,https://media-3.api-sports.io/basketball/teams/5802.png
2023-02-13T23:00:00+00:00,miss. valley st.,alabama state,,,home,1676329200,https://media-1.api-sports.io/basketball/teams/5802.png
