Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T02:00:00+00:00,n. carolina central,virginia,61 - 73,L,away,1667872800,https://media-1.api-sports.io/basketball/teams/5811.png
2022-11-10T23:30:00+00:00,n. carolina central,appalachian state,74 - 79,L,away,1668123000,https://media-2.api-sports.io/basketball/teams/5811.png
2022-11-15T00:00:00+00:00,n. carolina central,liberty,63 - 79,L,away,1668470400,https://media-1.api-sports.io/basketball/teams/5811.png
2022-11-17T00:00:00+00:00,n. carolina central,mid-atlantic,50 - 109,W,home,1668643200,https://media-3.api-sports.io/basketball/teams/5811.png
2022-11-23T00:30:00+00:00,n. carolina central,carver bible,None - None,tie,home,1669163400,https://media-1.api-sports.io/basketball/teams/5811.png
2022-11-26T20:30:00+00:00,n. carolina central,gardner webb,53 - 58,W,home,1669494600,https://media-1.api-sports.io/basketball/teams/5811.png
2022-11-30T00:00:00+00:00,n. carolina central,unc asheville,66 - 79,W,home,1669766400,https://media-2.api-sports.io/basketball/teams/5811.png
2022-12-02T00:00:00+00:00,n. carolina central,radford,78 - 80,L,away,1669939200,https://media-3.api-sports.io/basketball/teams/5811.png
2022-12-03T20:30:00+00:00,n. carolina central,st. andrews,40 - 127,W,home,1670099400,https://media-2.api-sports.io/basketball/teams/5811.png
2022-12-07T01:30:00+00:00,n. carolina central,marquette,78 - 90,L,away,1670376600,https://media-1.api-sports.io/basketball/teams/5811.png
2022-12-14T00:00:00+00:00,n. carolina central,lsu,57 - 67,L,away,1670976000,https://media-3.api-sports.io/basketball/teams/5811.png
2022-12-17T19:00:00+00:00,n. carolina central,gardner webb,70 - 72,L,away,1671303600,https://media-1.api-sports.io/basketball/teams/5811.png
2022-12-21T00:00:00+00:00,n. carolina central,citadel,74 - 81,W,home,1671580800,https://media-3.api-sports.io/basketball/teams/5811.png
2023-01-04T00:00:00+00:00,n. carolina central,toccoa falls,52 - 98,W,home,1672790400,https://media-2.api-sports.io/basketball/teams/5811.png
2023-01-07T21:00:00+00:00,n. carolina central,morgan state,73 - 78,L,away,1673125200,https://media-2.api-sports.io/basketball/teams/5811.png
2023-01-10T00:30:00+00:00,n. carolina central,coppin state,64 - 59,W,away,1673310600,https://media-2.api-sports.io/basketball/teams/5811.png
2023-01-14T21:00:00+00:00,n. carolina central,south carolina st,,,home,1673730000,https://media-2.api-sports.io/basketball/teams/5811.png
2023-01-21T21:00:00+00:00,n. carolina central,delaware state,,,home,1674334800,https://media-2.api-sports.io/basketball/teams/5811.png
2023-01-24T00:30:00+00:00,n. carolina central,md.-east. shore,,,home,1674520200,https://media-3.api-sports.io/basketball/teams/5811.png
2023-01-28T23:00:00+00:00,n. carolina central,howard,,,away,1674946800,https://media-2.api-sports.io/basketball/teams/5811.png
2023-01-31T00:00:00+00:00,n. carolina central,norfolk state,,,away,1675123200,https://media-2.api-sports.io/basketball/teams/5811.png
2023-02-11T21:00:00+00:00,n. carolina central,morgan state,,,home,1676149200,https://media-2.api-sports.io/basketball/teams/5811.png
2023-02-14T00:30:00+00:00,n. carolina central,coppin state,,,home,1676334600,https://media-2.api-sports.io/basketball/teams/5811.png
2023-02-18T21:00:00+00:00,n. carolina central,delaware state,,,away,1676754000,https://media-1.api-sports.io/basketball/teams/5811.png
