Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T01:00:00+00:00,northern illinois,ill.-springfield,83 - 77,L,home,1667869200,https://media-1.api-sports.io/basketball/teams/2048.png
2022-11-12T01:00:00+00:00,northern illinois,northwestern,46 - 63,L,away,1668214800,https://media-3.api-sports.io/basketball/teams/2048.png
2022-11-15T01:00:00+00:00,northern illinois,purdue northwest,73 - 99,W,home,1668474000,https://media-2.api-sports.io/basketball/teams/2048.png
2022-11-18T01:00:00+00:00,northern illinois,georgia tech,50 - 68,L,away,1668733200,https://media-2.api-sports.io/basketball/teams/2048.png
2022-11-22T17:00:00+00:00,northern illinois,sam houston st.,88 - 54,L,home,1669136400,https://media-3.api-sports.io/basketball/teams/2048.png
2022-11-23T16:00:00+00:00,northern illinois,liu sharks,86 - 61,W,away,1669219200,https://media-3.api-sports.io/basketball/teams/2048.png
2022-11-26T19:00:00+00:00,northern illinois,northern iowa,76 - 83,L,away,1669489200,https://media-3.api-sports.io/basketball/teams/2048.png
2022-12-01T01:00:00+00:00,northern illinois,eastern illinois,90 - 70,W,away,1669856400,https://media-3.api-sports.io/basketball/teams/2048.png
2022-12-03T02:00:00+00:00,northern illinois,idaho,47 - 84,L,away,1670032800,https://media-1.api-sports.io/basketball/teams/2048.png
2022-12-13T02:00:00+00:00,northern illinois,gonzaga,67 - 88,L,away,1670896800,https://media-1.api-sports.io/basketball/teams/2048.png
2022-12-17T21:00:00+00:00,northern illinois,vcu rams,63 - 90,L,away,1671310800,https://media-1.api-sports.io/basketball/teams/2048.png
2022-12-20T19:00:00+00:00,northern illinois,albany,83 - 78,L,home,1671562800,https://media-2.api-sports.io/basketball/teams/2048.png
2022-12-22T18:00:00+00:00,northern illinois,indiana state,67 - 57,W,away,1671732000,https://media-1.api-sports.io/basketball/teams/2048.png
2023-01-04T00:00:00+00:00,northern illinois,akron,51 - 76,L,away,1672790400,https://media-3.api-sports.io/basketball/teams/2048.png
2023-01-07T17:00:00+00:00,northern illinois,buffalo,62 - 80,L,away,1673110800,https://media-1.api-sports.io/basketball/teams/2048.png
2023-01-11T01:00:00+00:00,northern illinois,central michigan,54 - 73,W,home,1673398800,https://media-1.api-sports.io/basketball/teams/2048.png
2023-01-14T21:30:00+00:00,northern illinois,toledo,,,home,1673731800,https://media-1.api-sports.io/basketball/teams/2048.png
2023-01-18T00:00:00+00:00,northern illinois,miami (ohio),,,away,1674000000,https://media-2.api-sports.io/basketball/teams/2048.png
2023-01-21T20:30:00+00:00,northern illinois,eastern michigan,,,away,1674333000,https://media-1.api-sports.io/basketball/teams/2048.png
2023-01-25T01:00:00+00:00,northern illinois,kent state,,,home,1674608400,https://media-1.api-sports.io/basketball/teams/2048.png
2023-01-28T21:30:00+00:00,northern illinois,ball state,,,home,1674941400,https://media-2.api-sports.io/basketball/teams/2048.png
2023-02-01T00:00:00+00:00,northern illinois,western michigan,,,away,1675209600,https://media-2.api-sports.io/basketball/teams/2048.png
2023-02-04T22:00:00+00:00,northern illinois,bowling green,,,away,1675548000,https://media-1.api-sports.io/basketball/teams/2048.png
2023-02-08T01:00:00+00:00,northern illinois,ohio,,,home,1675818000,https://media-1.api-sports.io/basketball/teams/2048.png
2023-02-11T21:00:00+00:00,northern illinois,western michigan,,,home,1676149200,https://media-3.api-sports.io/basketball/teams/2048.png
2023-02-15T00:00:00+00:00,northern illinois,ball state,,,away,1676419200,https://media-3.api-sports.io/basketball/teams/2048.png
2023-02-18T21:30:00+00:00,northern illinois,miami (ohio),,,home,1676755800,https://media-3.api-sports.io/basketball/teams/2048.png
