Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T02:00:00+00:00,northwestern st.,texas tech,49 - 73,L,away,1667872800,https://media-2.api-sports.io/basketball/teams/5824.png
2022-11-10T18:00:00+00:00,northwestern st.,ouachita baptist,68 - 79,W,home,1668103200,https://media-3.api-sports.io/basketball/teams/5824.png
2022-11-13T01:00:00+00:00,northwestern st.,illinois state,69 - 67,L,home,1668301200,https://media-1.api-sports.io/basketball/teams/5824.png
2022-11-15T01:00:00+00:00,northwestern st.,tcu,64 - 63,W,away,1668474000,https://media-3.api-sports.io/basketball/teams/5824.png
2022-11-18T01:00:00+00:00,northwestern st.,illinois state,70 - 67,W,away,1668733200,https://media-1.api-sports.io/basketball/teams/5824.png
2022-11-26T23:30:00+00:00,northwestern st.,central arkansas,74 - 66,W,away,1669505400,https://media-2.api-sports.io/basketball/teams/5824.png
2022-11-27T19:00:00+00:00,northwestern st.,bethune-cookman,66 - 69,W,home,1669575600,https://media-3.api-sports.io/basketball/teams/5824.png
2022-12-02T02:00:00+00:00,northwestern st.,stephen f. austin,102 - 96,W,away,1669946400,https://media-1.api-sports.io/basketball/teams/5824.png
2022-12-04T21:30:00+00:00,northwestern st.,southern miss,82 - 84,W,home,1670189400,https://media-3.api-sports.io/basketball/teams/5824.png
2022-12-10T21:30:00+00:00,northwestern st.,louisiana monroe,73 - 91,W,home,1670707800,https://media-3.api-sports.io/basketball/teams/5824.png
2022-12-17T20:00:00+00:00,northwestern st.,rice,73 - 110,L,away,1671307200,https://media-2.api-sports.io/basketball/teams/5824.png
2022-12-21T01:00:00+00:00,northwestern st.,baylor,48 - 58,L,away,1671584400,https://media-3.api-sports.io/basketball/teams/5824.png
2022-12-28T00:00:00+00:00,northwestern st.,texas a&m,52 - 64,L,away,1672185600,https://media-3.api-sports.io/basketball/teams/5824.png
2022-12-31T20:30:00+00:00,northwestern st.,texas a&m-cc,65 - 59,L,home,1672518600,https://media-2.api-sports.io/basketball/teams/5824.png
2023-01-06T01:30:00+00:00,northwestern st.,mcneese state,77 - 92,L,away,1672968600,https://media-1.api-sports.io/basketball/teams/5824.png
2023-01-07T21:30:00+00:00,northwestern st.,nicholls state,48 - 68,W,home,1673127000,https://media-3.api-sports.io/basketball/teams/5824.png
2023-01-13T02:00:00+00:00,northwestern st.,mcneese state,,,home,1673575200,https://media-2.api-sports.io/basketball/teams/5824.png
2023-01-14T21:00:00+00:00,northwestern st.,nicholls state,,,away,1673730000,https://media-1.api-sports.io/basketball/teams/5824.png
2023-01-20T01:30:00+00:00,northwestern st.,se louisiana,,,away,1674178200,https://media-3.api-sports.io/basketball/teams/5824.png
2023-01-21T22:00:00+00:00,northwestern st.,new orleans,,,away,1674338400,https://media-3.api-sports.io/basketball/teams/5824.png
2023-01-27T02:00:00+00:00,northwestern st.,houston christian,,,home,1674784800,https://media-3.api-sports.io/basketball/teams/5824.png
2023-01-28T21:30:00+00:00,northwestern st.,lamar,,,home,1674941400,https://media-1.api-sports.io/basketball/teams/5824.png
2023-02-03T01:00:00+00:00,northwestern st.,houston christian,,,away,1675386000,https://media-2.api-sports.io/basketball/teams/5824.png
2023-02-05T00:00:00+00:00,northwestern st.,lamar,,,away,1675555200,https://media-1.api-sports.io/basketball/teams/5824.png
2023-02-10T02:00:00+00:00,northwestern st.,tx a&m commerce,,,away,1675994400,https://media-3.api-sports.io/basketball/teams/5824.png
2023-02-11T21:30:00+00:00,northwestern st.,tx a&m commerce,,,home,1676151000,https://media-2.api-sports.io/basketball/teams/5824.png
2023-02-17T02:00:00+00:00,northwestern st.,se louisiana,,,home,1676599200,https://media-2.api-sports.io/basketball/teams/5824.png
2023-02-18T21:30:00+00:00,northwestern st.,new orleans,,,home,1676755800,https://media-3.api-sports.io/basketball/teams/5824.png
