Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T00:00:00+00:00,ohio state,robert morris,53 - 91,W,home,1667865600,https://media-2.api-sports.io/basketball/teams/2058.png
2022-11-10T23:30:00+00:00,ohio state,charleston southern,56 - 82,W,home,1668123000,https://media-2.api-sports.io/basketball/teams/2058.png
2022-11-17T00:00:00+00:00,ohio state,eastern illinois,43 - 65,W,home,1668643200,https://media-2.api-sports.io/basketball/teams/2058.png
2022-11-22T02:00:00+00:00,ohio state,san diego state,77 - 88,L,away,1669082400,https://media-3.api-sports.io/basketball/teams/2058.png
2022-11-22T22:00:00+00:00,ohio state,cincinnati,81 - 53,W,away,1669154400,https://media-3.api-sports.io/basketball/teams/2058.png
2022-11-23T19:30:00+00:00,ohio state,texas tech,73 - 80,W,home,1669231800,https://media-1.api-sports.io/basketball/teams/2058.png
2022-12-01T00:15:00+00:00,ohio state,duke,72 - 81,L,away,1669853700,https://media-3.api-sports.io/basketball/teams/2058.png
2022-12-03T17:00:00+00:00,ohio state,st. francis (pa),59 - 96,W,home,1670086800,https://media-1.api-sports.io/basketball/teams/2058.png
2022-12-09T00:00:00+00:00,ohio state,rutgers,66 - 67,W,home,1670544000,https://media-2.api-sports.io/basketball/teams/2058.png
2022-12-17T20:00:00+00:00,ohio state,north carolina,89 - 84,L,home,1671307200,https://media-2.api-sports.io/basketball/teams/2058.png
2022-12-22T01:30:00+00:00,ohio state,maine black bears,61 - 95,W,home,1671672600,https://media-1.api-sports.io/basketball/teams/2058.png
2022-12-29T20:00:00+00:00,ohio state,alabama a&m,59 - 90,W,home,1672344000,https://media-1.api-sports.io/basketball/teams/2058.png
2023-01-02T00:30:00+00:00,ohio state,northwestern,73 - 57,W,away,1672619400,https://media-1.api-sports.io/basketball/teams/2058.png
2023-01-06T00:00:00+00:00,ohio state,purdue,71 - 69,L,home,1672963200,https://media-3.api-sports.io/basketball/teams/2058.png
2023-01-08T18:00:00+00:00,ohio state,maryland,73 - 80,L,away,1673200800,https://media-1.api-sports.io/basketball/teams/2058.png
2023-01-12T23:30:00+00:00,ohio state,minnesota,,,home,1673566200,https://media-3.api-sports.io/basketball/teams/2058.png
2023-01-15T21:00:00+00:00,ohio state,rutgers,,,away,1673816400,https://media-1.api-sports.io/basketball/teams/2058.png
2023-01-19T00:00:00+00:00,ohio state,nebraska,,,away,1674086400,https://media-1.api-sports.io/basketball/teams/2058.png
2023-01-21T21:00:00+00:00,ohio state,iowa,,,home,1674334800,https://media-1.api-sports.io/basketball/teams/2058.png
2023-01-25T00:00:00+00:00,ohio state,illinois,,,away,1674604800,https://media-3.api-sports.io/basketball/teams/2058.png
2023-01-29T01:00:00+00:00,ohio state,indiana,,,away,1674954000,https://media-2.api-sports.io/basketball/teams/2058.png
2023-02-03T00:00:00+00:00,ohio state,wisconsin,,,home,1675382400,https://media-2.api-sports.io/basketball/teams/2058.png
2023-02-05T18:00:00+00:00,ohio state,michigan,,,away,1675620000,https://media-2.api-sports.io/basketball/teams/2058.png
2023-02-10T01:00:00+00:00,ohio state,northwestern,,,home,1675990800,https://media-3.api-sports.io/basketball/teams/2058.png
2023-02-12T18:00:00+00:00,ohio state,michigan state,,,home,1676224800,https://media-1.api-sports.io/basketball/teams/2058.png
2023-02-17T02:00:00+00:00,ohio state,iowa,,,away,1676599200,https://media-3.api-sports.io/basketball/teams/2058.png
