Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T02:00:00+00:00,oklahoma state,ut arlington,66 - 77,W,home,1667872800,https://media-1.api-sports.io/basketball/teams/2060.png
2022-11-11T01:00:00+00:00,oklahoma state,southern illinois,61 - 60,L,home,1668128400,https://media-3.api-sports.io/basketball/teams/2060.png
2022-11-13T20:00:00+00:00,oklahoma state,oakland,91 - 62,W,away,1668369600,https://media-3.api-sports.io/basketball/teams/2060.png
2022-11-19T00:00:00+00:00,oklahoma state,ucf knights,60 - 56,L,home,1668816000,https://media-2.api-sports.io/basketball/teams/2060.png
2022-11-20T21:30:00+00:00,oklahoma state,depaul,78 - 82,W,home,1668979800,https://media-1.api-sports.io/basketball/teams/2060.png
2022-11-26T01:00:00+00:00,oklahoma state,tulsa,56 - 82,W,home,1669424400,https://media-3.api-sports.io/basketball/teams/2060.png
2022-11-27T20:00:00+00:00,oklahoma state,prairie view a&m,53 - 78,W,home,1669579200,https://media-1.api-sports.io/basketball/teams/2060.png
2022-12-01T23:30:00+00:00,oklahoma state,uconn,64 - 74,L,away,1669937400,https://media-1.api-sports.io/basketball/teams/2060.png
2022-12-07T02:00:00+00:00,oklahoma state,sam houston st.,51 - 65,W,home,1670378400,https://media-3.api-sports.io/basketball/teams/2060.png
2022-12-11T19:00:00+00:00,oklahoma state,virginia tech,65 - 70,L,away,1670785200,https://media-3.api-sports.io/basketball/teams/2060.png
2022-12-18T02:00:00+00:00,oklahoma state,wichita state,59 - 49,W,away,1671328800,https://media-1.api-sports.io/basketball/teams/2060.png
2022-12-20T20:00:00+00:00,oklahoma state,texas a&m-cc,58 - 81,W,home,1671566400,https://media-3.api-sports.io/basketball/teams/2060.png
2022-12-31T19:00:00+00:00,oklahoma state,kansas,67 - 69,L,away,1672513200,https://media-3.api-sports.io/basketball/teams/2060.png
2023-01-03T00:00:00+00:00,oklahoma state,west virginia,60 - 67,W,home,1672704000,https://media-1.api-sports.io/basketball/teams/2060.png
2023-01-07T17:00:00+00:00,oklahoma state,texas,56 - 46,L,home,1673110800,https://media-2.api-sports.io/basketball/teams/2060.png
2023-01-11T00:00:00+00:00,oklahoma state,kansas state,,,away,1673395200,https://media-1.api-sports.io/basketball/teams/2060.png
2023-01-14T23:00:00+00:00,oklahoma state,baylor,,,away,1673737200,https://media-2.api-sports.io/basketball/teams/2060.png
2023-01-19T02:00:00+00:00,oklahoma state,oklahoma,,,home,1674093600,https://media-3.api-sports.io/basketball/teams/2060.png
2023-01-21T19:00:00+00:00,oklahoma state,iowa state,,,home,1674327600,https://media-1.api-sports.io/basketball/teams/2060.png
2023-01-25T02:00:00+00:00,oklahoma state,texas,,,away,1674612000,https://media-2.api-sports.io/basketball/teams/2060.png
2023-01-29T01:00:00+00:00,oklahoma state,ole miss,,,home,1674954000,https://media-1.api-sports.io/basketball/teams/2060.png
2023-02-02T02:00:00+00:00,oklahoma state,oklahoma,,,away,1675303200,https://media-3.api-sports.io/basketball/teams/2060.png
2023-02-04T19:00:00+00:00,oklahoma state,tcu,,,home,1675537200,https://media-1.api-sports.io/basketball/teams/2060.png
2023-02-09T01:00:00+00:00,oklahoma state,texas tech,,,home,1675904400,https://media-3.api-sports.io/basketball/teams/2060.png
2023-02-11T23:00:00+00:00,oklahoma state,iowa state,,,away,1676156400,https://media-1.api-sports.io/basketball/teams/2060.png
2023-02-15T02:00:00+00:00,oklahoma state,kansas,,,home,1676426400,https://media-3.api-sports.io/basketball/teams/2060.png
2023-02-18T19:00:00+00:00,oklahoma state,tcu,,,away,1676746800,https://media-1.api-sports.io/basketball/teams/2060.png
