Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T01:00:00+00:00,oklahoma,sam houston st.,52 - 51,L,home,1667869200,https://media-2.api-sports.io/basketball/teams/2059.png
2022-11-12T01:00:00+00:00,oklahoma,arkansas-pine bluff,58 - 66,W,home,1668214800,https://media-2.api-sports.io/basketball/teams/2059.png
2022-11-16T01:00:00+00:00,oklahoma,nc wilmington,53 - 74,W,home,1668560400,https://media-1.api-sports.io/basketball/teams/2059.png
2022-11-19T01:00:00+00:00,oklahoma,south alabama,60 - 64,W,home,1668819600,https://media-3.api-sports.io/basketball/teams/2059.png
2022-11-24T22:00:00+00:00,oklahoma,nebraska,69 - 56,W,away,1669327200,https://media-2.api-sports.io/basketball/teams/2059.png
2022-11-26T01:00:00+00:00,oklahoma,seton hall,77 - 64,W,away,1669424400,https://media-3.api-sports.io/basketball/teams/2059.png
2022-11-27T18:30:00+00:00,oklahoma,ole miss,55 - 59,W,home,1669573800,https://media-2.api-sports.io/basketball/teams/2059.png
2022-12-03T17:30:00+00:00,oklahoma,villanova,66 - 70,L,away,1670088600,https://media-3.api-sports.io/basketball/teams/2059.png
2022-12-07T01:00:00+00:00,oklahoma,umkc,53 - 75,W,home,1670374800,https://media-3.api-sports.io/basketball/teams/2059.png
2022-12-10T18:00:00+00:00,oklahoma,arkansas,78 - 88,L,away,1670695200,https://media-1.api-sports.io/basketball/teams/2059.png
2022-12-17T20:00:00+00:00,oklahoma,central arkansas,66 - 87,W,home,1671307200,https://media-3.api-sports.io/basketball/teams/2059.png
2022-12-21T02:30:00+00:00,oklahoma,florida,53 - 62,W,home,1671589800,https://media-2.api-sports.io/basketball/teams/2059.png
2022-12-31T19:00:00+00:00,oklahoma,texas,70 - 69,L,home,1672513200,https://media-2.api-sports.io/basketball/teams/2059.png
2023-01-05T00:00:00+00:00,oklahoma,iowa state,63 - 60,L,home,1672876800,https://media-1.api-sports.io/basketball/teams/2059.png
2023-01-08T00:00:00+00:00,oklahoma,texas tech,68 - 63,W,away,1673136000,https://media-2.api-sports.io/basketball/teams/2059.png
2023-01-11T02:00:00+00:00,oklahoma,kansas,75 - 79,L,away,1673402400,https://media-3.api-sports.io/basketball/teams/2059.png
2023-01-14T17:00:00+00:00,oklahoma,west virginia,,,home,1673715600,https://media-1.api-sports.io/basketball/teams/2059.png
2023-01-19T02:00:00+00:00,oklahoma,oklahoma state,,,away,1674093600,https://media-3.api-sports.io/basketball/teams/2059.png
2023-01-21T21:00:00+00:00,oklahoma,baylor,,,home,1674334800,https://media-1.api-sports.io/basketball/teams/2059.png
2023-01-25T01:00:00+00:00,oklahoma,tcu,,,away,1674608400,https://media-2.api-sports.io/basketball/teams/2059.png
2023-01-28T19:00:00+00:00,oklahoma,alabama,,,home,1674932400,https://media-1.api-sports.io/basketball/teams/2059.png
2023-02-02T02:00:00+00:00,oklahoma,oklahoma state,,,home,1675303200,https://media-1.api-sports.io/basketball/teams/2059.png
2023-02-05T01:00:00+00:00,oklahoma,west virginia,,,away,1675558800,https://media-3.api-sports.io/basketball/teams/2059.png
2023-02-09T02:00:00+00:00,oklahoma,baylor,,,away,1675908000,https://media-3.api-sports.io/basketball/teams/2059.png
2023-02-11T18:00:00+00:00,oklahoma,kansas,,,home,1676138400,https://media-2.api-sports.io/basketball/teams/2059.png
2023-02-15T02:00:00+00:00,oklahoma,kansas state,,,home,1676426400,https://media-1.api-sports.io/basketball/teams/2059.png
2023-02-18T19:00:00+00:00,oklahoma,texas,,,away,1676746800,https://media-2.api-sports.io/basketball/teams/2059.png
