Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T03:00:00+00:00,oregon,florida a&m,45 - 80,W,home,1667876400,https://media-2.api-sports.io/basketball/teams/2065.png
2022-11-12T04:00:00+00:00,oregon,uc irvine,69 - 56,L,home,1668225600,https://media-1.api-sports.io/basketball/teams/2065.png
2022-11-16T02:00:00+00:00,oregon,montana state,51 - 81,W,home,1668564000,https://media-2.api-sports.io/basketball/teams/2065.png
2022-11-21T02:30:00+00:00,oregon,houston,66 - 56,L,home,1668997800,https://media-3.api-sports.io/basketball/teams/2065.png
2022-11-25T01:00:00+00:00,oregon,uconn,83 - 59,L,home,1669338000,https://media-3.api-sports.io/basketball/teams/2065.png
2022-11-26T04:59:00+00:00,oregon,michigan state,70 - 74,L,away,1669438740,https://media-1.api-sports.io/basketball/teams/2065.png
2022-11-27T20:00:00+00:00,oregon,villanova,67 - 74,W,home,1669579200,https://media-2.api-sports.io/basketball/teams/2065.png
2022-12-02T03:30:00+00:00,oregon,washington state,60 - 74,W,home,1669951800,https://media-1.api-sports.io/basketball/teams/2065.png
2022-12-04T22:00:00+00:00,oregon,ucla,56 - 65,L,away,1670191200,https://media-3.api-sports.io/basketball/teams/2065.png
2022-12-11T00:00:00+00:00,oregon,nevada,65 - 78,W,home,1670716800,https://media-1.api-sports.io/basketball/teams/2065.png
2022-12-15T02:00:00+00:00,oregon,uc riverside,65 - 71,W,home,1671069600,https://media-3.api-sports.io/basketball/teams/2065.png
2022-12-18T01:00:00+00:00,oregon,portland,56 - 78,W,home,1671325200,https://media-3.api-sports.io/basketball/teams/2065.png
2022-12-21T03:30:00+00:00,oregon,utah valley state,77 - 72,L,home,1671593400,https://media-3.api-sports.io/basketball/teams/2065.png
2023-01-01T01:00:00+00:00,oregon,oregon state,68 - 77,W,home,1672534800,https://media-3.api-sports.io/basketball/teams/2065.png
2023-01-06T02:00:00+00:00,oregon,colorado,41 - 68,L,away,1672970400,https://media-3.api-sports.io/basketball/teams/2065.png
2023-01-08T00:00:00+00:00,oregon,utah utes,70 - 60,W,away,1673136000,https://media-3.api-sports.io/basketball/teams/2065.png
2023-01-13T02:00:00+00:00,oregon,arizona state,,,home,1673575200,https://media-3.api-sports.io/basketball/teams/2065.png
2023-01-14T23:00:00+00:00,oregon,arizona,,,home,1673737200,https://media-3.api-sports.io/basketball/teams/2065.png
2023-01-19T03:00:00+00:00,oregon,california,,,away,1674097200,https://media-2.api-sports.io/basketball/teams/2065.png
2023-01-22T04:00:00+00:00,oregon,stanford,,,away,1674360000,https://media-3.api-sports.io/basketball/teams/2065.png
2023-01-27T02:00:00+00:00,oregon,colorado,,,home,1674784800,https://media-1.api-sports.io/basketball/teams/2065.png
2023-01-29T01:00:00+00:00,oregon,utah utes,,,home,1674954000,https://media-3.api-sports.io/basketball/teams/2065.png
2023-02-03T03:30:00+00:00,oregon,arizona,,,away,1675395000,https://media-3.api-sports.io/basketball/teams/2065.png
2023-02-04T21:00:00+00:00,oregon,arizona state,,,away,1675544400,https://media-3.api-sports.io/basketball/teams/2065.png
2023-02-10T04:00:00+00:00,oregon,usc,,,home,1676001600,https://media-3.api-sports.io/basketball/teams/2065.png
2023-02-11T21:00:00+00:00,oregon,ucla,,,home,1676149200,https://media-1.api-sports.io/basketball/teams/2065.png
2023-02-16T04:00:00+00:00,oregon,washington,,,away,1676520000,https://media-2.api-sports.io/basketball/teams/2065.png
